"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"1137",NA,NA,NA,NA,NA,"IRAK3",NA,NA,NA,NA,"EBPL",NA,"RIN2","C1RL","ZNF286A",NA,NA,NA,NA,NA,NA,"CLTB",NA,NA,"ZBTB26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIP4K2C","DUSP2","FLOT1","IQGAP1",NA,"PTRH1","CASP1","INPP4A"
"1138",NA,NA,NA,NA,NA,"LDHA",NA,NA,NA,NA,"DTNA",NA,"VLDLR","FAM162A","ANKRD54",NA,NA,NA,NA,NA,NA,"IRAK3",NA,NA,"APBB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC12A4","GCN1L1","LFNG","SNTB1",NA,"SBF1","HELB","LIMA1"
"1139",NA,NA,NA,NA,NA,"MSH2",NA,NA,NA,NA,"MMP15",NA,"BIRC5","FNDC3B","FAM188A",NA,NA,NA,NA,NA,NA,"KDM5D",NA,NA,"GPD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDAH1","KDM6A","TCEAL8","CD320",NA,"SMAD7","HNRNPH1","PPP1R12C"
"1140",NA,NA,NA,NA,NA,"MTPAP",NA,NA,NA,NA,"PHLDB1",NA,"MOK","IL16","PPP1R18",NA,NA,NA,NA,NA,NA,"MAPK1IP1L",NA,NA,"HTR1F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABARAPL1","MTO1","TSPYL2","HOXB2",NA,"ATIC","JAK3","RPS28"
"1141",NA,NA,NA,NA,NA,"RPL36",NA,NA,NA,NA,"PIBF1",NA,"PHYHD1","ILF2","RBM11",NA,NA,NA,NA,NA,NA,"MIF4GD",NA,NA,"PRKG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBOAT2","NAA25","CASP8","IER2",NA,"MACROD1","PDGFD","SEPT6"
"1142",NA,NA,NA,NA,NA,"SNHG1",NA,NA,NA,NA,"PTPRK",NA,"RPS29","RARRES2","SUMO2",NA,NA,NA,NA,NA,NA,"PPT2",NA,NA,"DNASE1L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MORN1","RPL6","CRY1","NCALD",NA,"U2AF2","RASSF1","SLC9A9"
"1143",NA,NA,NA,NA,NA,"ATP5C1",NA,NA,NA,NA,"RPL18A",NA,"AKNA","SLC43A1","TMEM126A",NA,NA,NA,NA,NA,NA,"TMEM9B",NA,NA,"ILF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAT14","CBX7","EIF3CL","DPYD",NA,"CYTH1","SERGEF","TCIRG1"
"1144",NA,NA,NA,NA,NA,"ILF2",NA,NA,NA,NA,"RPL36A",NA,"C16ORF13","MRPL24","LIMK2",NA,NA,NA,NA,NA,NA,"ATP2A3",NA,NA,"NARFL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RIN2","HCG27","MAF1","FLOT1",NA,"FAM195B","ADA","TMSB10"
"1145",NA,NA,NA,NA,NA,"LACTB",NA,NA,NA,NA,"ALDH2",NA,"GIPC1","RASSF2","NEIL1",NA,NA,NA,NA,NA,NA,"NTPCR",NA,NA,"RUNX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPS18","ZNF790","S100A6","GNB2",NA,"MAP3K1","HERC5","CASP6"
"1146",NA,NA,NA,NA,NA,"LAX1",NA,NA,NA,NA,"APLP2",NA,"MECOM","RPL18","PIP4K2A",NA,NA,NA,NA,NA,NA,"PRPS2",NA,NA,"SMCR8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAX1BP3","CCDC84","USF2","RAB37",NA,"MRPL1","RGS14","PRKCA"
"1147",NA,NA,NA,NA,NA,"SDF2L1",NA,NA,NA,NA,"CCDC8",NA,"NEXN","SDCCAG3","SCPEP1",NA,NA,NA,NA,NA,NA,"SWI5",NA,NA,"VASP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TNFRSF10B","PYHIN1","ZFYVE28","RPS10",NA,"RPL7","TMEM154","CCDC50"
"1148",NA,NA,NA,NA,NA,"SGSM2",NA,NA,NA,NA,"FAM57A",NA,"NTN4","SETDB2","TPI1",NA,NA,NA,NA,NA,NA,"LMNB1",NA,NA,"AKT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ECHDC2","SGSM2","FAM129B","CTSS",NA,"ECE1","VOPP1","CCDC65"
"1149",NA,NA,NA,NA,NA,"SLC16A1",NA,NA,NA,NA,"GPR157",NA,"PDGFC","SNHG10","AFF3",NA,NA,NA,NA,NA,NA,"PIAS3",NA,NA,"PLA2G15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RECK","TNFRSF14","GALM","OAS2",NA,"ENPP4","HIVEP2","FNBP1"
"1150",NA,NA,NA,NA,NA,"DCTPP1",NA,NA,NA,NA,"LCOR",NA,"SMARCB1","ARL4A","EIF3L",NA,NA,NA,NA,NA,NA,"KLHDC8B",NA,NA,"RALY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RRAS2","C9ORF72","ATP11A","RPS28",NA,"HMGN3","MEI1","FXYD1"
"1151",NA,NA,NA,NA,NA,"DNMT3A",NA,NA,NA,NA,"MT1X",NA,"AGRN","CAMTA2","PLAG1",NA,NA,NA,NA,NA,NA,"NDC80",NA,NA,"TLE4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPE","DNM1L","COMTD1","EGLN2",NA,"IQGAP2","SH2D3A","HMGB2"
"1152",NA,NA,NA,NA,NA,"FCF1",NA,NA,NA,NA,"RAB3D",NA,"TSKU","CARS2","SLC17A9",NA,NA,NA,NA,NA,NA,"PGAP2",NA,NA,"ANP32B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF493","EHBP1L1","HIST1H4L","FUT8",NA,"LRBA","SPPL2B","NUP210"
"1153",NA,NA,NA,NA,NA,"MSRA",NA,NA,NA,NA,"ZBTB38",NA,"IRX3","CCDC150","THUMPD2",NA,NA,NA,NA,NA,NA,"ATP5D",NA,NA,"CTNNBIP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDH2","FUT8","SMEK2","HIST3H2A",NA,"ATP5G1","SSBP3","PPM1M"
"1154",NA,NA,NA,NA,NA,"RDH5",NA,NA,NA,NA,"CD40",NA,"MCEE","CLIC4","CTC1",NA,NA,NA,NA,NA,NA,"FOXN3",NA,NA,"ESYT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDK14","EXD3","ADRBK1","KLF3",NA,"CERK","C1QBP","RPL24"
"1155",NA,NA,NA,NA,NA,"IL16",NA,NA,NA,NA,"RSL1D1",NA,"NOTCH2","FSTL1","CTNNA3",NA,NA,NA,NA,NA,NA,"GAPDH",NA,NA,"SLC16A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DZIP1","LRRC70","NINJ1","NHP2",NA,"ITPKB","CACNA2D4","TSPAN14"
"1156",NA,NA,NA,NA,NA,"KNTC1",NA,NA,NA,NA,"SLC39A7",NA,"MYLIP","LSM5","CYCS",NA,NA,NA,NA,NA,NA,"PSME2",NA,NA,"SLC27A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLG2","LY96","OCEL1","SERTAD1",NA,"KLF3","HSF4","ADAM12"
"1157",NA,NA,NA,NA,NA,"MRPL12",NA,NA,NA,NA,"SYTL2",NA,"RPL5","PSMA2","DLEU2",NA,NA,NA,NA,NA,NA,"PUSL1",NA,NA,"TPRA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAPS2","RASGEF1B","PCNXL2","ADRBK1",NA,"SAMSN1","IL23A","ARHGAP31"
"1158",NA,NA,NA,NA,NA,"MRPL24",NA,NA,NA,NA,"APH1A",NA,"TRIM59","USP9Y","KLF7",NA,NA,NA,NA,NA,NA,"RNASEH2A",NA,NA,"ZNF181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DSE","TRAPPC10","PHF19","CASP1",NA,"SEC14L2","MZT2B","CELF2"
"1159",NA,NA,NA,NA,NA,"SEC24D",NA,NA,NA,NA,"CLSTN3",NA,"ZMIZ1","APH1A","NAPEPLD",NA,NA,NA,NA,NA,NA,"ADCY3",NA,NA,"LEPROT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNS","CENPV","PRKCE","FXYD5",NA,"A1BG-AS1","TRAF5",NA
"1160",NA,NA,NA,NA,NA,"SH3BGRL",NA,NA,NA,NA,"KDM5C",NA,"AASS","KIAA1279","PTRHD1",NA,NA,NA,NA,NA,NA,"SCML4",NA,NA,"PEAK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LACC1","ZNF816","PRKRIR","SH2B3",NA,"GSTM3","PACRGL",NA
"1161",NA,NA,NA,NA,NA,"ST3GAL3",NA,NA,NA,NA,"MPZL1",NA,"FAM43A","LPXN","ATP5S",NA,NA,NA,NA,NA,NA,"ABCC10",NA,NA,"PPT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUDT11","HIST1H1E","TP53INP1","YIF1A",NA,"PTPN4","PTPN22",NA
"1162",NA,NA,NA,NA,NA,"SWAP70",NA,NA,NA,NA,"TNFRSF10D",NA,"FHL1","NUDT1","NEK1",NA,NA,NA,NA,NA,NA,"HIF1AN",NA,NA,"PTRF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGA","LFNG","AKT3","LFNG",NA,"RPS27A","RELL1",NA
"1163",NA,NA,NA,NA,NA,"TPM3",NA,NA,NA,NA,"BLOC1S2",NA,"GSTP1","PRDX3","NSUN7",NA,NA,NA,NA,NA,NA,"TXNDC11",NA,NA,"SLC7A6OS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAPN5","MAF1","CHERP","LYL1",NA,"RPS6KA1","A1BG-AS1",NA
"1164",NA,NA,NA,NA,NA,"ZFAND1",NA,NA,NA,NA,"COL4A6",NA,"NEK6","SLC16A1","RANBP17",NA,NA,NA,NA,NA,NA,"ZBED1",NA,NA,"ZFAND1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARHSP1","SH3GLB2","GPR155","TAP1",NA,"TRERF1","FKTN",NA
"1165",NA,NA,NA,NA,NA,"NFXL1",NA,NA,NA,NA,"MAP4K2",NA,"SEPN1","TBC1D9B","SFXN1",NA,NA,NA,NA,NA,NA,"ATXN10",NA,NA,"LMO4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOLGA3","ZNF564","NBPF9","ITM2B",NA,"USF2","TRAF1",NA
"1166",NA,NA,NA,NA,NA,"OGFRL1",NA,NA,NA,NA,"MBOAT7",NA,"SLC39A7","ZNF395","ZNF677",NA,NA,NA,NA,NA,NA,"FKBP7",NA,NA,"MFGE8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEIS3P1","ADA","ATM","LZTFL1",NA,"DOCK8","HNRNPA1",NA
"1167",NA,NA,NA,NA,NA,"SRP9",NA,NA,NA,NA,"PTPN6",NA,"AFAP1","BTG3","ABI3BP",NA,NA,NA,NA,NA,NA,"HINT1",NA,NA,"TLN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBEA","AMIGO1","FGFRL1","PPP1R15A",NA,"IRF3","PCGF3",NA
"1168",NA,NA,NA,NA,NA,"STK3",NA,NA,NA,NA,"ZNF83",NA,"CCDC74B","HSBP1","CIR1",NA,NA,NA,NA,NA,NA,"PACSIN2",NA,NA,"ARSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPFIA4","ANKIB1","MIER2","RUVBL1",NA,"NMT2","UBXN11",NA
"1169",NA,NA,NA,NA,NA,"TOMM34",NA,NA,NA,NA,"AP3D1",NA,"DOCK4","RPRD1B","GTF2IRD2B",NA,NA,NA,NA,NA,NA,"SKIL",NA,NA,"CNTRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOCK1","C11ORF1","NMT2","SNHG9",NA,"TTC12","ALOX5AP",NA
"1170",NA,NA,NA,NA,NA,"ZNF706",NA,NA,NA,NA,"ARRB1",NA,"NEO1","TMED3","ILF2",NA,NA,NA,NA,NA,NA,"C11ORF68",NA,NA,"COX18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGPEP1","SIPA1","TMEM2","AKT3",NA,"FAM122C","CAPG",NA
"1171",NA,NA,NA,NA,NA,"CDCA8",NA,NA,NA,NA,"PNPLA6",NA,"NUSAP1","FBXO34","TNS3",NA,NA,NA,NA,NA,NA,"P2RX5",NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RGL1","DNAJB1","TYMP","IRF3",NA,"IL16","DNM2",NA
"1172",NA,NA,NA,NA,NA,"NDUFB3",NA,NA,NA,NA,"PSMD3",NA,"PLEKHA4","LEPROTL1","DZIP3",NA,NA,NA,NA,NA,NA,"RPA3",NA,NA,"PSME1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCN1B","FSBP","ZNF101","PLEKHG5",NA,"JAK3","FEZ1",NA
"1173",NA,NA,NA,NA,NA,"RIC3",NA,NA,NA,NA,"APBA2",NA,"TRPV2","MYD88","HMGB2",NA,NA,NA,NA,NA,NA,"SEPW1",NA,NA,"SOD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AP1S3","PHAX","EGLN2","TTI2",NA,"RIC3","INPP5D",NA
"1174",NA,NA,NA,NA,NA,"TMEM106A",NA,NA,NA,NA,"COTL1",NA,"ZNF521","PLIN2","IPO11",NA,NA,NA,NA,NA,NA,"SLITRK4",NA,NA,"CCDC86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CALHM2","RPS25","FAM156A","WAPAL",NA,"RPL12","MALAT1",NA
"1175",NA,NA,NA,NA,NA,"ATP5A1",NA,NA,NA,NA,"CROT",NA,"CHEK1","C16ORF74","LINC00426",NA,NA,NA,NA,NA,NA,"GPKOW",NA,NA,"PPIP5K2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPEB1","CPQ","GATA3","WIPF1",NA,"SESN2","PLCD1",NA
"1176",NA,NA,NA,NA,NA,"C9ORF41",NA,NA,NA,NA,"EML1",NA,"DAZAP2","ERO1L","RPL34",NA,NA,NA,NA,NA,NA,"MAPRE2",NA,NA,"RPL36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDX60","FAAH2","HOXB2","ADAM15",NA,"SPEF2","PSD4",NA
"1177",NA,NA,NA,NA,NA,"CAT",NA,NA,NA,NA,"NEO1",NA,"GSTA4","GCAT","ATXN10",NA,NA,NA,NA,NA,NA,"MYD88",NA,NA,"TNFRSF1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H3F3AP4","FAM118A","DPYD","GPR132",NA,"TIPARP","ZFYVE28",NA
"1178",NA,NA,NA,NA,NA,"FARP2",NA,NA,NA,NA,"SACS",NA,"HOXB2","LGMN","FKBP9",NA,NA,NA,NA,NA,NA,"SEPT5",NA,NA,"ARL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL6R","OGT","IL16","LONRF1",NA,"AGFG2","CCDC65",NA
"1179",NA,NA,NA,NA,NA,"IER3",NA,NA,NA,NA,"SPPL2A",NA,"RPL13","MRPL9","RNF219",NA,NA,NA,NA,NA,NA,"CYFIP1",NA,NA,"C1R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FHL1","RPL17","INPP4A","GLIPR1",NA,"CTSC","DANCR",NA
"1180",NA,NA,NA,NA,NA,"OSTM1",NA,NA,NA,NA,"TSPAN4",NA,"SAMD9L","PRC1","SREBF2",NA,NA,NA,NA,NA,NA,"GALC",NA,NA,"CDK6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDM4","SLA2","KDM5C","GTDC1",NA,"IL18R1","LLGL2",NA
"1181",NA,NA,NA,NA,NA,"RAB3IP",NA,NA,NA,NA,"UBE2S",NA,"ARPC1B","TIMELESS","HIST1H2BC",NA,NA,NA,NA,NA,NA,"RNF144B",NA,NA,"MIF4GD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEPT10","SRPR","PHTF2","RAPGEF1",NA,"LILRB1","LMF2",NA
"1182",NA,NA,NA,NA,NA,"RPSAP58",NA,NA,NA,NA,"ARSJ",NA,"BOK","TNFRSF10D","LEPROT",NA,NA,NA,NA,NA,NA,"TXNL1",NA,NA,"MOB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDH1A3","EBLN2","UBA7","RHPN1",NA,"RPS28","RNU12",NA
"1183",NA,NA,NA,NA,NA,"MARCKS",NA,NA,NA,NA,"COL6A2",NA,"NIPSNAP1","ATP5J","TBC1D4",NA,NA,NA,NA,NA,NA,"C16ORF54",NA,NA,"RPF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCPG1","RPS3","NUP210","SMEK2",NA,"ADA","SLC20A1",NA
"1184",NA,NA,NA,NA,NA,"MPZL3",NA,NA,NA,NA,"HIF1A",NA,"TTYH3","CEP19","TUBA4A",NA,NA,NA,NA,NA,NA,"PCIF1",NA,NA,"ST3GAL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGM3","SH3YL1","RPS27A","SP140",NA,"CBX7","TNFSF14",NA
"1185",NA,NA,NA,NA,NA,"PIK3CA",NA,NA,NA,NA,"SCOC",NA,"CMC1","ITGA6","ACAD8",NA,NA,NA,NA,NA,NA,"YBEY",NA,NA,"UBQLN4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH3BP5","SRGN","RSAD2","CDC42BPB",NA,"PPP1R3F","HELLS",NA
"1186",NA,NA,NA,NA,NA,"HMBS",NA,NA,NA,NA,"SYNE1",NA,"KSR1","KIAA0040","AP1S3",NA,NA,NA,NA,NA,NA,"APITD1",NA,NA,"APLP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBXN6","ZNF181","VSIG1","KIN",NA,"SLC9A1","IFI16",NA
"1187",NA,NA,NA,NA,NA,"PSME1",NA,NA,NA,NA,"TMEM102",NA,"SCARF2","PSME1","BTK",NA,NA,NA,NA,NA,NA,"ELOVL5",NA,NA,"CLSTN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YIF1A","CDC14B","ZNF107","PFN2",NA,"WAPAL","NFKBIZ",NA
"1188",NA,NA,NA,NA,NA,"RPS8",NA,NA,NA,NA,"TMEM14C",NA,"TMBIM1","TPM3","LINC00476",NA,NA,NA,NA,NA,NA,"GBP2",NA,NA,"DEFA1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCDC142","GBP4","ARHGEF3","SASH3",NA,NA,"NOD2",NA
"1189",NA,NA,NA,NA,NA,"SPRY2",NA,NA,NA,NA,"CDK1",NA,"TXNRD1","DPP7","MARCKS",NA,NA,NA,NA,NA,NA,"PDCD11",NA,NA,"PFDN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FSD1","ITM2C","OAS1","SEMA4D",NA,NA,"EGLN2",NA
"1190",NA,NA,NA,NA,NA,"SRSF6",NA,NA,NA,NA,"DDAH2",NA,"DAPK1","MYO5C","MRPS24",NA,NA,NA,NA,NA,NA,"PNN",NA,NA,"RAP2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSP90AB1","MEI1","PPP1R12C","STK4",NA,NA,"GLIPR2",NA
"1191",NA,NA,NA,NA,NA,"BUB1B",NA,NA,NA,NA,"DOPEY1",NA,"ECE1","RASSF4","SKIL",NA,NA,NA,NA,NA,NA,"ST8SIA6",NA,NA,"RNF14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAK1","TYK2","AIM1","TSPAN32",NA,NA,"KIAA1671",NA
"1192",NA,NA,NA,NA,NA,"CCDC101",NA,NA,NA,NA,"PLIN3",NA,"NDRG1","RIMKLB","SYF2",NA,NA,NA,NA,NA,NA,"CENPH",NA,NA,"ANXA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDIA5","ZNF91","FNIP2","E2F2",NA,NA,"LEPROTL1",NA
"1193",NA,NA,NA,NA,NA,"IFI16",NA,NA,NA,NA,"PPIA",NA,"NDUFS8","RRAGC","TMEM9",NA,NA,NA,NA,NA,NA,"LIMS1",NA,NA,"ATXN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAB11B","BTAF1","KAT2B","FBXL15",NA,NA,"LFNG",NA
"1194",NA,NA,NA,NA,NA,"TPM1",NA,NA,NA,NA,"RAB11FIP4",NA,"ZNF395","HAUS8","ARFIP1",NA,NA,NA,NA,NA,NA,"TBC1D10C",NA,NA,"CHD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCEAL8","CA5B","NRIP1","GCLM",NA,NA,"TOP1MT",NA
"1195",NA,NA,NA,NA,NA,"TRIM21",NA,NA,NA,NA,"SLC37A1",NA,"COX7C","MRPS33","CENPK",NA,NA,NA,NA,NA,NA,"TST",NA,NA,"EIF3H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAMP1","DTD1","NUCB2","HIST1H2BO",NA,NA,"ZNF606",NA
"1196",NA,NA,NA,NA,NA,"TYW5",NA,NA,NA,NA,"CARHSP1",NA,"LCORL","RPL35","ERGIC2",NA,NA,NA,NA,NA,NA,"USP45",NA,NA,"IRF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DFNA5","MALAT1","WAPAL","LPIN2",NA,NA,"C1QTNF3",NA
"1197",NA,NA,NA,NA,NA,"LRRC46",NA,NA,NA,NA,"CCNA2",NA,"PDE1A","TFIP11","PCBP1-AS1",NA,NA,NA,NA,NA,NA,"ASMTL",NA,NA,"MPV17L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOMER2","MINA","ANKRD13D","MKNK2",NA,NA,"CXORF57",NA
"1198",NA,NA,NA,NA,NA,"SKP2",NA,NA,NA,NA,"CMIP",NA,"TMEM200B","ZG16B","SCML2",NA,NA,NA,NA,NA,NA,"H2AFJ",NA,NA,"SLC16A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPS4X","MT1X","CD79B","NOP58",NA,NA,"EHBP1L1",NA
"1199",NA,NA,NA,NA,NA,"TPM4",NA,NA,NA,NA,"EPHX1",NA,"APRT","CD63","BIN1",NA,NA,NA,NA,NA,NA,"SLC35D2",NA,NA,"UCK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPG20","MYLIP","CORO7-PAM16","PPP1R12C",NA,NA,"ENOSF1",NA
"1200",NA,NA,NA,NA,NA,"ZNF483",NA,NA,NA,NA,"NSUN5",NA,"CDIPT","NUDT3","LSM2",NA,NA,NA,NA,NA,NA,"SNX11",NA,NA,"C12ORF65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SV2A","CCND2","FBXW5","RTKN2",NA,NA,"NHSL2",NA
"1201",NA,NA,NA,NA,NA,"MAGED1",NA,NA,NA,NA,"SH3BP1",NA,"CRTAP","ACAD11","PIAS3",NA,NA,NA,NA,NA,NA,"BAK1",NA,NA,"CECR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZCCHC24","RBM28","HIPK2","SELT",NA,NA,"RLTPR",NA
"1202",NA,NA,NA,NA,NA,"RPL12",NA,NA,NA,NA,"ACSL1",NA,"DOK1","DHX16","SH3BGR",NA,NA,NA,NA,NA,NA,"C16ORF58",NA,NA,"DAZAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF528","SUN1","SELK","CASP8",NA,NA,"UNC13D",NA
"1203",NA,NA,NA,NA,NA,"TFDP2",NA,NA,NA,NA,"ATP2C2",NA,"KITLG","NR4A2","ARNTL",NA,NA,NA,NA,NA,NA,"DLC1",NA,NA,"DYNLT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLCB1","APEX1","DAPP1","FBXO32",NA,NA,"HIST1H2AH",NA
"1204",NA,NA,NA,NA,NA,"ADH5",NA,NA,NA,NA,"CHMP4C",NA,"LMAN1","PAM","CLUAP1",NA,NA,NA,NA,NA,NA,"FOSB",NA,NA,"EEF2K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTTG1","CRLF3","DSTN","IGF2R",NA,NA,"NHP2L1",NA
"1205",NA,NA,NA,NA,NA,"CPNE2",NA,NA,NA,NA,"GNAI1",NA,"PDE1C","ANKRD36B","LOX",NA,NA,NA,NA,NA,NA,"GRB10",NA,NA,"FKBP7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SATB1","ENO3","ZNF844","HSPE1",NA,NA,"NPDC1",NA
"1206",NA,NA,NA,NA,NA,"HERPUD1",NA,NA,NA,NA,"MAF1",NA,"PTPRM","CMTM7","MCM7",NA,NA,NA,NA,NA,NA,"HSBP1",NA,NA,"IKBKE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNCA","ESYT1","ANKRD12","RPL7A",NA,NA,"OCIAD2",NA
"1207",NA,NA,NA,NA,NA,"ITGB2",NA,NA,NA,NA,"DENND3",NA,"UBL5","NIF3L1","SLC29A3",NA,NA,NA,NA,NA,NA,"RPS13",NA,NA,"SCCPDH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APOL6","JOSD1","DLEC1","TNF",NA,NA,"PAN2",NA
"1208",NA,NA,NA,NA,NA,"RAP2A",NA,NA,NA,NA,"IRAK2",NA,"ITM2C","NLRC5","SLC50A1",NA,NA,NA,NA,NA,NA,"TECR",NA,NA,"ZNF684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FADS1","SELK","HMGN3","VSIG1",NA,NA,"RPL4",NA
"1209",NA,NA,NA,NA,NA,"RPL34",NA,NA,NA,NA,"NDUFS5",NA,"LDOC1","MANF","MCTP2",NA,NA,NA,NA,NA,NA,"TUBB",NA,NA,"COMMD7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLIS3","TNRC6C","SGPP2","C16ORF74",NA,NA,"SAMSN1",NA
"1210",NA,NA,NA,NA,NA,"TXNIP",NA,NA,NA,NA,"RAVER1",NA,"MVD","P4HTM","NUDT7",NA,NA,NA,NA,NA,NA,"ATP5S",NA,NA,"GCAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCNJ8","TTC13","SLC25A29","CENPM",NA,NA,"TSTD1",NA
"1211",NA,NA,NA,NA,NA,"ABCC5",NA,NA,NA,NA,"AIG1",NA,"NDUFB4","RGS2","ZNF615",NA,NA,NA,NA,NA,NA,"CENPK",NA,NA,"GRINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STAT5A","ZFP82","SYTL2","RNASET2",NA,NA,NA,NA
"1212",NA,NA,NA,NA,NA,"HSD17B8",NA,NA,NA,NA,"AP2A1",NA,"PTGFR","UCK2","CCDC66",NA,NA,NA,NA,NA,NA,"GSTZ1",NA,NA,"IL16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADAM23","ARRB1","CCDC84","SOD1",NA,NA,NA,NA
