"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"49","C1QTNF1","RCN3","RNU5E-1","SNORA71D","PRSS23","CD79B","HBB","KYNU","NTN4","TYROBP","TACSTD2","CDCA3","IGFBP3","HLA-DRB1","ADAM28","CAV1","IL1RN","SNORA9","ST14","CD69","PRUNE2","MDK","UCHL1","SNORA14B","WBP5","PTX3","COL6A1","SNORA13","SH3GL2","SNORA38","SNORA74B","VCAN","SEMA4A","DDR2","TPM2","COL5A2","SNORA9","SNORA28","SNORA49","S100P","SNORA11B","SNORA74A","IL32"
"50","AQP7","IGFBP7","SNORA11B","SNORA41","ITGA11","HLA-DPA1","SNORA38B","PDCD1LG2","C10ORF10","ATG16L2","HIST1H3E","SGOL1","MRC2","NREP","CD74","KRT18","NPL","LYZ","TMEM91","ITGB3","MMP14","APOC1","IGFBP7","NCF2","MDK","HIST1H2BO","COL6A3","SNORA71D","THY1","C5AR1","SNORA84","SPON2","P2RX1","GFPT2","UCP3","CLDN11","CD69","SNORA16A","SNORA2A","CD7","SNORA28","ZAP70","CD2"
"51","IGFBP3","FSTL1","SNORA13","SCARNA1","DDR2","SERPING1","ATP8B4","SNORA74A","FSCN1","CORO1A","PLK2","SPC25","DKK3","SERPING1","STAP1","THBS1","FGR","SNORA74B","SNORA49","PTGS1","DUSP4","HLA-DRB1","RPPH1","SNORA5A","SYNGR1","CYR61","PRSS23","HLA-DOB","SLC24A2","SNORA71A","SNORA5C","HGF","HSH2D","FKBP10","FLNC","SERPINE1","CD28","SNORA41","SNORA61","SNORA74B","SNORA49","SNORA71D","SNORA75"
"52","VWF","COL8A1","SNORA28","SNORA13","ANTXR1","HGF","CSTA","MIR155HG","SDPR","LFNG","JUP","STMN1","PDGFRB","C1ORF228","HLA-DQA1","TRIM29","FCER1G","SNORA21","CD52","FYB","NRP2","STMN1","MMP14","SNORA71D","SERPINB1","HIST2H3C","ALDH1A1","SNORA38","SCG5","GPR97","CCL4","NNMT","TPD52","NRP1","HFE2","DDR2","SNORA10","SNORA61","SNORA74A","RNU6ATAC","SNORA38","RNU5F-1","SNORA13"
"53","THBS1","CHPF","CD79B","SNORA49","PTRF","SOX4","HBA2","HLA-DQA1","PLS3","EMR2","FSTL1","TOP2A","THY1","KIAA0101","MFAP2","ITGA3","HLA-DMB","TREM2","LILRA2","VWF","MX1","DPPA4","LYPD1","CD36","TFPI","KRT7","PPP1R3C","SNORA5C","CPE","LILRB3","GZMM","RND3","SEPT1","TMEM119","CRYAB","PTX3","SCARNA1","LCK","RNU4ATAC","SNORA10","SNORA63","SNORA38","LTB"
"54","SERPINF1","HIST1H3E","SNORA38","SNORA11B","ISLR","GAPT","SNORA47","LYZ","FBLIM1","FGR","MET","KEL","STC2","MAP3K8","MYCT1","FAT1","SNORD89","SNORA54","RAMP1","CCRL2","IFIT3","CD82","MMP7","SNORD94","GNB2L1","HIST2H3A","ITGA7","SNORA80B","BEX1","SNORA7B","SNORA37","SNORA23","NKX6-3","HIST1H2BM","TRIM54","LAMB1","CD2","SNORA11B","SNORA66","ITK","SNORA23","CTSW","SNORA28"
"55","MAP1B","MMP2","SNORA23","SNORA5C","C1R","MFAP4","S100A8","IL21R","EPHB4","SORL1","MMP14","APOBEC3B","PAMR1","AZU1","ALDH1A1","MCAM","TMEM176B","MT1G","CSTA","UBE2C","GAS7","GNB2L1","LOXL2","FCER1G","LAT2","HYAL2","GREM1","SNORA41","OMG","FCGR3A","SNORA49","COL12A1","DTX1","LRP1","PGAM2","MMP14","TXK","SNORA60","SNORA41","SNORA9","SNORA21","SNORA13","SNORA80B"
"56","CLU","THBS2","CD22","SNORA28","HMOX1","HLA-DRB1","RNU5E-1","ALOX15","GNG11","SNORD17","LAMB1","ADD2","TPM2","TTTY15","ITM2A","SOX15","HLA-DRB5","SNORD15A","SDC2","CST7","CCND1","CD37","MFAP2","HLA-DQB1","SOX4","RPPH1","SERPINH1","SNORA11B","LRRN3","CLEC4E","IL2RB","F3","MS4A1","CCND1","OBSCN","MXRA8","SNORA47","ZAP70","SNORA11B","SNORD67","SNORA13","SNORA61","ITK"
"57","COL4A2","S100A16","SNORA60","CD1C","SERPINE2","MEIS1","SNORA9","RNU5F-1","FSTL1","HCK","NME2","HMMR","EMILIN1","STMN1","HLA-DQB1","TP63","CLEC7A","SNORA7B","SNORA52","TMEM40","HIST1H3C","CD52","PXDN","THBS1","MYCT1","STAB1","COL6A2","SNORA28","NRCAM","ALPL","CST7","FSTL1","TXNDC5","SERPINH1","FABP3","PTRF","CD3E","SNORA14A","SNORA60","CEACAM8","SNORA2A","SNORA28","SNORA71C"
"58","AOC3","SPARC","SNORA2A","SNORA38","THBS1","IFITM3","ELANE","SLC7A11","KRT18","ITGAM","PLAU","SKA3","IGFBP7","CD74","BEX2","ANXA3","CCR1","CD68","AFAP1L1","GRAP2","LAPTM4B","GFI1B","FBLIM1","IER3","CD74","AKAP12","MXRA8","RNU5E-1","MT3","SNORA61","RNU5F-1","SERPINB2","HSPA1B","SERPINE2","NDRG2","RGS4","SPOCK2","CD247","CD247","SNORD15A","CTSW","SNORA63","SNORA71A"
