"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"53","SNTG1","CORO1A","XK","ACKR1","GLT8D2","GUSBP11","FCER1G","OLFML3","DKK1","SDC1","ERMAP","FBLN5","FAM81B","SLC22A16","HAO1","KCNJ15","SPP1","ASPRV1","TREM2","PRTN3","CTSS","FAP","PLAC8","COL4A6","CNN3","CCR1","LCK","PLSCR4","HGD","COL5A2","IL2RB","MME"
"54","BAALC","HLA-DRB1","CEACAM6","CDH1","LINC01279","CD52","IL1R2","FREM2","SOX7","C3","APOBEC3B","MMP1","CLEC10A","P2RY8","DPYS","STEAP4","FSTL1","ABCA12","ITGAM","COCH","GAPT","UCHL1","CEBPE","SST","DCX","KCNJ15","RNF125","CAV1","SYTL4","NTN4","GATA3","LTBP2"
"55","LHX2","EVI2B","IGHM","ICAM4","FAP","C16ORF54","PTPRO","GULP1","GIMAP6","PTHLH","PIP5K1B","THBS1","PRR15","CEBPA","ARG1","EVI2A","HSPA2","NCCRP1","HLA-DRA","BTK","CD52","THBS1","CHI3L1","CTGF","BEX1","CD69","CD8A","KRT14","SEC14L5","NRP1","EVI2B","PTX3"
"56","SOX8","KIAA0125","MS4A1","TRIM58","PCOLCE","ATP8B4","LILRB1","TAGLN","COL4A1","FGFR3","PAQR9","FNDC1","NLRP2","HLA-DQA1","APCS","CLEC4A","TOX3","AKR1B10","MNDA","CA2","C1ORF162","FERMT2","CYBB","LUM","RTN1","CLEC7A","S1PR1","GJA1","ABLIM3","IGFBP4","LAT","C1S"
"57","PLPPR4","HLA-DPA1","FPR1","HEMGN","THBS2","NLRC3","HLA-DRA","ZNF423","GIMAP4","C1ORF116","FECH","HTRA1","MOS","FOS","BHMT","CARD16","SALL4","AZGP1","IL1RN","UCA1","CYTIP","NT5E","CLEC4D","FBN2","CPXM1","ALOX5AP","SKAP1","HOXC6","MLH3","ADIRF","LRRN3","LINC01279"
"58","RHPN2","CD52","ALOX5AP","SLC10A4","PPP1R3C","CLDN10","CLEC7A","ANOS1","GJA1","F3","NFIA","LOXL1","DDX4","CPXM1","GSTA1","TLR1","UCHL1","PNLIPRP3","LILRB1","SLC27A2","EVI2A","LOXL2","CFP","ACTC1","FERMT2","CSF3R","GPR18","ADAMTS5","MYLK","GPX8","P2RY10","GXYLT2"
"59","CRISPLD1","IGKV4-1","MPO","PRKAR2B","RBP4","RCSD1","SUCNR1","NMU","SRPX2","SCGB1A1","MKI67","KRT7","C1ORF210","LY86","LINC00844","CCR1","FERMT2","RNASE7","HK3","EPB42","AQP9","CALD1","MGAM","GPC4","CADM1","LYZ","CD300A","SPOCK1","LINC01215","PTX3","GIMAP2","FNDC1"
"60","CLU","RGS1","RHCE","CNRIP1","SOX9","HLA-DPA1","CLIC2","DSP","GDF15","KLF5","DLGAP5","CAV1","HIST1H1A","CD48","ACMSD","GAPT","MFAP2","RPTN","CXCL16","GNA15","TNFRSF1B","TMSB15A","NONAME844","MEIS2","RND3","CXCL2","RGS1","ACTA2","APOBEC3A","MAP1B","ALOX5AP","DKK1"
"61","TNC","SPIB","PGLYRP1","BUB1","PTX3","CDCA7","LILRB4","GPM6B","PLSCR4","CLCA2","CCNE1","SPOCK1","PDE9A","LAT2","CFB","IL1R2","DSG2","EPPK1","CCRL2","POLE2","CPVL","CPA4","HBB","MAP1B","RBP1","GPR65","IL12RB2","LOXL1","NONAME290","GXYLT2","GPR183","GJA1"
"62","BCHE","HLA-DQB1","SERPINB10","HMBS","LINC00968","TNFSF13B","CD1A","NONAME213","PECAM1","FXYD3","TFR2","ENPP2","TMEM163","HLA-DPA1","SLC10A1","ADGRE3","PLS3","SCEL","RNASE6","DHRS11","ADGRE2","FSTL1","GPR160","GJA1","GEM","GPR84","SLAMF7","RCAN2","GIMAP4","GJA1","ITGAL","SERPINE1"
"63","BEX1","HLA-DMA","GAPT","MCM2","MMP2","ZNF521","MNDA","ACTA1","CTHRC1","PI3","SELENBP1","GPNMB","ZC2HC1B","C16ORF54","MT1M","TNFSF13B","ASS1","FGFBP1","SLC15A3","MAP7","SLC7A7","CRYAB","HCK","COL11A1","PFN2","CCL20","PRKCH","LURAP1L","GNAZ","RECK","LY9","PDGFRA"
"64","KLHDC8A","SELL","RAG1","DTL","CDC42EP5","FOSB","CD1C","VAT1L","RNASE1","ELF3","MCM10","CCDC80","DCDC2","ATP8B4","CYP2C18","CYTIP","OTX2","SLC6A14","GM2A","P2RX5","ALOX5","SYNC","ITGAM","TAGLN","COL5A2","TMEM71","TGFBR3","CEMIP","TC2N","CLMP","PCED1B","CRYAB"
