"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"65","DCLK1","CD37","RGS18","NMU","C1S","PPBP","GGTA1P","CGNL1","CDC42EP5","MUC1","BUB1","NONAME645","ETNPPL","HOPX","MTTP","FAM65B","DLGAP5","IL36RN","HLA-DPA1","CDCA7","HLA-DPA1","DKK3","FCER1G","FLRT3","DACH1","TLR2","PLAC8","TMEM47","CD160","VEGFC","PLAC8","FN1"
"66","LRP4","RHOH","TYROBP","TOP2A","SPOCK1","GNA15","ITGB2","FAM46B","ESAM","ESRP1","ABCG2","MMP2","WFDC2","CDCA7","CYP2C9","LY96","HEPH","DAPL1","EVI2B","FOSB","VCAN","DKK1","CD24","ZNF521","DKK1","PILRA","NR4A2","NTM","LYZ","IGFBP3","SIRPG","CYR61"
"67","SOX2","MARCH1","GPR18","EPDR1","HTRA1","TMEM163","RNASE1","NLGN4X","LAMB1","FOXQ1","LINC01133","TIMP3","LINC01118","CSTA","ANXA10","PLAC8","CSRP2","KLK11","IL10RA","HLA-DRA","CASP1","EFEMP1","NCF4","FRZB","GPX8","TNFRSF10C","ITGAM","EGR2","TRIM58","VCAN","FAM65B","IRX3"
"68","HOPX","LINC01215","MGAM","CENPE","NOX4","IGLL3P","HLA-DRB1","SOX2","EMP1","MSMB","PRG2","SNAI2","SLC35G1","CORO1A","PLG","PILRA","GPM6B","TPRG1","PLEK","LMO2","CLEC12A","STC2","NCF2","GPM6B","SMARCA1","KIAA0226L","IL10RA","PRSS23","RASGRP1","TIMP3","P2RY8","ERRFI1"
"69","MAP1B","LCK","CD79B","BUB1B","TAGLN","BEX2","DCSTAMP","DSG2","GPX8","SPRR3","ACKR1","FBN1","EDNRB-AS1","RCSD1","ADH1C","TNFSF10","GPX8","KLK7","TFEC","SLC40A1","TNFSF13B","FZD7","CORO1A","PTN","DKK3","KRT23","TIGIT","HTRA1","IPCEF1","OLFML3","UBASH3A","PRRX1"
"70","ID4","CD48","IGKC","PBK","COL8A2","CXCL2","CCL23","NAP1L3","ICAM2","CDH1","HIST1H1D","PTX3","RADIL","TYROBP","CYP3A5","KRT23","ZNF423","A2ML1","PILRA","LYZ","HLA-DRB1","RND3","FGF13","FZD3","HEY1","EVI2B","ITGB2","DSP","IGF2BP3","FN1","C16ORF54","TGFBI"
"71","PSRC1","PLAC8","PLBD1","TTK","C1R","CD37","CD1E","PLS3","ID1","TRIM29","HJURP","C1S","SLC27A6","EAF2","BAAT","FYB","FOXH1","IL36G","FPR3","ANK1","PLAC8","MMP2","TESC","TTYH1","CCND1","CHI3L1","CD52","MIR100HG","MS4A1","CTHRC1","PRKCH","MIR100HG"
"72","SLC35F1","ALOX5AP","KLF1","MPP1","ASS1","LST1","HLA-DPA1","HEPH","COL4A2","PPL","PBK","TMEM200A","OSR2","NFE2","ETNPPL","ITGAM","COL1A2","TACSTD2","ADGRE2","PROK2","HLA-DMB","FRMD6","C1ORF162","CENPV","ADAMTS9","FGR","PYHIN1","ABCA8","DAPP1","TMEM47","TCF7","GPX8"
"73","MEGF10","EBF1","SELL","CDC20","PTGFR","HLA-DRB1","CD52","UCHL1","AKAP12","IGFBP3","MPP1","COX7A1","SLC7A9","HLA-DRB1","RNF128","CSF2RB","GABRB3","CLIC3","EMP1","CENPH","LY86","HOXC6","CDA","TMEM47","BUB1B","CMTM2","LCP2","DACT1","TMEM140","TM4SF1","SPOCK2","FSTL1"
"74","COL11A1","CD74","SPTA1","RYR3","MYL9","NONAME155","IL1RN","CSRP2","DKK3","KLK11","KIF4A","DKK3","PTTG3P","C1ORF162","BCHE","GPR65","RND3","CWH43","CD48","FAM83D","IFI30","TM4SF1","GAPT","INSM1","SNX7","ADGRE2","ZNF600","NEXN","EVI2B","ARHGAP29","RHOH","CALD1"
"75","NFIB","ISG20","EVI2B","KIF4A","GJA1","GMFG","CYTIP","DLGAP5","COL5A2","IL20RB","ADD2","GJA1","LHX8","SPNS3","UBD","GIMAP7","TSPAN6","SFN","RGCC","OIP5","GIMAP7","TMEM47","MCEMP1","CPE","GULP1","CD14","CD48","C11ORF96","CYTIP","SLC14A1","IPCEF1","EMP1"
"76","MEIS2","P2RY8","NCF2","CD53","EPYC","SAMD13","CSF2RA","GLDC","FSTL1","S100A9","PRC1","MOXD1","SPATA22","LST1","UGT2A3","GIMAP4","CNN3","KRT23","LY96","DLGAP5","TLR2","LRRC17","PRG2","CSRP2","CHN1","JAML","KIR2DL4","FSTL1","S100A8","NDUFA4L2","ITM2A","SERPINE2"
"77","PLD5","BANK1","MYB","KIF15","NONAME645","MNDA","GPR183","IRX2","PLK2","BPIFA1","TOP2A","ITGBL1","CDH3","ITM2A","ACOT12","MYO1F","TMEM47","HPGD","S100A8","GAD1","NOD2","TGFBI","ABCA13","HEPH","KIAA1211","CYTIP","FCER1G","ALPK2","HRASLS","FSTL1","LCP2","AKR1C2"
"78","DKK3","PTPRCAP","CYBB","PTPN7","IGFBP4","EVI2B","MAOA","SFRP1","PRSS23","ADGRF1","DTL","TMEM119","FGF14","CXCR4","BHMT2","CD52","ARMCX2","KRT80","HLA-DRB1","SLC25A21","CXCL8","IGFBP4","SLPI","MAB21L1","FREM2","EGR3","TNFAIP3","DKK3","POU2AF1","MYL9","EVI2A","EFEMP1"
"79","TOX3","CD22","PLAC8","CLIC2","ISLR","CTSW","CXCL8","LEFTY2","PLS3","CEACAM5","CENPE","GPX8","NR2E1","HLA-DMA","LEAP2","IL1B","RARRES2","RHCG","CTSS","AKR1C3","MS4A14","FBN2","CST7","ZIC3","BEX2","NCF4","CD96","KCNE4","NEXN","PCOLCE2","PTPRC","MFAP5"
"80","TMEM158","FCRL2","MPEG1","NPL","MXRA5","EAF2","TFEC","FSTL1","C8ORF4","S100A8","TTK","GATA6","OXT","KBTBD11","CPS1","FCER1G","SNX7","AADAC","NCEH1","TNFSF13B","GIMAP6","MRGPRF","SELL","AFP","CLGN","GAPT","CLEC2B","CYP1B1","PTGS1","NONAME645","LINC01215","PLOD2"
"81","GJA1","CD53","P2RY13","CCNB1","THBS1","CEBPA","FGR","BUB1B","ROBO4","CDC42EP5","BUB1B","VEGFC","RASL11A","CD52","AGT","NFE2","PFN2","ESRP1","IFI30","FOS","TNFSF10","PDGFRA","EVI2B","IGF2BP3","PLS3","TLR1","GIMAP4","MYLK","GP6","LTBP2","DENND2D","FBLN5"
"82","LRRN3","BACH2","IL18RAP","MCM10","AEBP1","CXCR4","CSF1R","TSPAN6","ALDH1A1","EPCAM","CPOX","FSTL1","CATSPERD","HLA-DMB","CYP8B1","CD53","FGF13","LYPD3","CYP1B1","HHEX","OLIG1","CSRP2","BST1","TSPAN6","GNG11","LST1","GPR65","RND3","PRKAR2B","RND3","FYB","CAV2"
"83","KIF5C","CD180","HLA-DRA","TPX2","TMEM119","PLEK","TNFSF13B","DEPDC1B","IGF2BP3","CEL","APOC1","RND3","AURKC","S100A9","KNG1","ALOX5","VCAN","TCN1","ALOX5AP","MEST","MYO1F","SRPX","CSTA","LOXL1","FAT1","ITGAM","ALOX5AP","EMP1","EHD3","CLU","CD53","THBS1"
"84","ANOS1","CD83","ANXA3","NFIA","PLAC9","NAP1L3","SAMSN1","DPYSL3","NT5E","CXCL1","NCAPG","BICC1","LRRC17","EVI2B","SULT2A1","ITGB2","ANOS1","MIR205HG","HLA-DMB","GMPR","CARD16","SGCE","C16ORF54","CD24","TWIST1","VSTM1","CRTAM","FRMD6","ENKUR","CDH11","GPR18","SPARC"
"85","ZNF423","GAPT","CHI3L1","SLC40A1","CRYAB","C1ORF162","C5AR1","CNN3","MMP2","ID1","ICAM4","GRAMD3","C1ORF226","CD53","SLC2A2","CD48","BUB1B","RAB25","ITGAX","NONAME155","HLA-DQA1","LAMB1","FAR2","CDH11","FSTL1","LINC01272","P2RY8","SPARC","NELL2","TGFB1I1","RUNX3","TMEM47"
"86","AMPH","RCSD1","LST1","PRC1","GPX8","BEX5","CCR5","FERMT2","FAM43A","ADH7","SLC43A3","TWIST1","OLIG1","GMFG","PIPOX","C16ORF54","SCG5","PRR9","PLBD1","ARHGAP15","GPR65","TCEAL7","RGS18","NR2E1","CENPF","TMEM154","C16ORF54","HMCN1","SELL","PDGFRA","CD37","FERMT2"
"87","DDR1","BIRC3","FCER1G","LAPTM5","ADAMTS1","PSMB8-AS1","LPL","PFN2","F2R","AKR1C2","RHD","CALD1","TECTA","CLEC11A","SERPINA1","MS4A6A","MAP1B","MAL2","HTRA4","ATP7B","LY96","CAV2","RGCC","LMO3","TOP2A","CSF2RB","TNFRSF18","PLAT","ITGAM","FGL2","SIDT1","RND3"
"88","SLC47A2","GPR160","PROK2","HMMR","SRPX","RAB37","EVI2B","ZFP42","RAI14","VTCN1","DNAJA4","DEPTOR","NLRP5","PSMB8-AS1","FMO3","GLT1D1","NAP1L3","S100A12","SDC2","LAPTM5","CECR1","SERPINH1","TMEM71","COL1A2","ENAH","MIR29C","CD53","THBS1","GAPT","DDR2","GPR65","GLT8D2"
"89","NCAN","PCED1B","KIAA0226L","MCM4","TMEM47","LAT2","ANPEP","TMEM47","FAM213A","LSR","TPX2","LIMCH1","RSPO2","LCP1","ABCG5","NCF4","CENPH","KLK5","CD74","DTL","CD300LF","MYOF","APOBEC3A","CDH2","MID1","CLEC4A","PTGER2","FAT1","TMSB15A","TNFRSF11B","PSMB8-AS1","COMP"
"90","FZD3","MZB1","PRTN3","POLE2","ENPP2","CSF2RB","IFI30","ARMCX2","MECOM","BPIFB1","CLIC2","COL11A1","GRB7","LRRC70","AADAC","GBP2","TTK","CST6","GPC4","PRG2","F13A1","FN1","BEX1","CNN3","PXDN","LCP2","RRN3P2","PDGFRA","FGFBP2","SGCE","PRKCQ","NONAME645"
"91","SRPX","LAPTM5","NFE2","NCAPG","PCOLCE2","BEX1","RAMP1","ADGRL2","LINC01013","PERP","GATA1","NID2","STK31","MPEG1","TMEM27","HLA-DRA","CGNL1","BPIFC","CD53","NFIA","HLA-DMA","PENK","PTH2R","SPP1","PBK","PLEK","EVI2B","TIMP3","CFAP161","COL6A2","CORO1A","MAP1B"
"92","RALYL","RNASE6","CD24","LMO2","HOXC6","SLC22A16","CD83","CYP26A1","DOCK4","CLDN7","TMOD1","ID1","ZSWIM3","PRSS21","HSD17B2","CSTA","CALD1","ELOVL7","LCP1","ST6GAL2","PLBD1","THBS2","HK3","IGDCC4","KCNT2","FCER1G","XCL1","IGFBP6","C16ORF54","FGF7","ISG20","DSP"
"93","POU3F2","LAT2","RHAG","CCNB2","FOXD1","CSTA","HLA-DMA","CTSV","TFPI","IFI27","FHDC1","PRRX1","GTSF1","CXORF21","OTC","CD93","DEPDC1B","SLURP1","ZMIZ1-AS1","CENPU","MAFB","BDNF","FOSB","ID1","NUF2","SAMSN1","SASH3","CFH","LGALSL","PLOD2","IL2RG","VCAN"
"94","PDZRN3","PSMB8-AS1","CD52","AKR1C3","COL6A2","GIMAP2","MS4A6A","VCAN","FAM196B","TMC4","EPDR1","TGFB1I1","SLC12A5","GNA15","ACSM5","TLR2","YAP1","GPR87","MREG","ADAMTS3","CSTA","TMEM200A","NONAME405","KIF5C","KIF20A","SERPINA1","SLFN13","EPS8","TSPOAP1-AS1","SYNC","CXORF65","CHI3L1"
"95","RND3","CD69","CLEC12A","ITGA4","ACAN","TNFSF4","CD53","TCEAL7","GIMAP7","CAV2","TNS1","SERPINE1","AURKA","FCER1G","AKR1C2","IL18RAP","FAM64A","SERPINB13","CTSK","SELENBP1","ITGAM","TWIST1","P2RY13","PNMAL1","KIF21A","GBP2","ARAP2","CXCL12","PROS1","LAMB1","ICOS","CDH13"
"96","CSRP2","LCP1","CMTM2","CYP1B1","SPARC","DOCK2","ENPP2","FAT1","TGFB1I1","CSTA","CENPF","ADGRD1","RHPN2","NONAME155","TAT","VCAN","THY1","IGFL2","CTSH","TESC","GIMAP2","PLS3","HBD","PFN2","ARMCX2","FAM65B","LCP1","WNT5A","OXTR","MN1","LAPTM5","SNX7"
"97","CHL1","CXCR4","CX3CR1","CSF2RB","P4HA2","ALDH1A1","HLA-DMB","UNC5D","STEAP1","DSG2","KIF15","LTBP2","MRC1","DOCK2","HPX","SERPINA1","CDC20","S100A9","CD300LF","DOCK2","CD53","PTRF","CEACAM1","MID1","CPE","TNFRSF1B","TMEM71","EFHD1","SPARC","COL5A1","ARHGAP15","EPS8"
"98","C2ORF80","EAF2","CLEC5A","CXORF57","PRRX1","GGTA1P","CTSS","HELLS","SPARC","TNFSF10","HMMR","EMP1","ESCO2","CTSW","CYP7A1","CXCL8","CCNB1","NONAME30","SLC7A7","EPDR1","ALOX5AP","FOSL1","IL18RAP","FSTL1","MYEF2","LINC01093","MYBL1","INHBA","FYB","SFRP1","IFITM1","STEAP1"
"99","LIPG","MEF2C","CD48","STAT5A","TMEM45A","NRROS","SDC2","CDCA7","ZNF521","CD24","HES6","SRPX","KCNQ1-AS1","BTK","APOC1","CLEC7A","CDH3","PPL","LAPTM5","MND1","EPB41L3","ADAMTS1","PCOLCE2","COL1A1","ID4","TMCC3","SELL","FN1","PRTFDC1","TGFBI","ARHGDIB","CYP1B1"
"100","C1QL1","FCGR2B","GIMAP4","PNMT","CLEC3B","ARHGAP15","CH25H","RND3","PXDN","RDH10","NPL","TGFBI","FAM179A","GPR183","CLRN3","LCP2","RRAS2","MUC15","TNFSF13B","ARHGDIB","LCP1","SPARC","FOS","MEST","FAM213A","LY96","PTPRC","MYL9","PLEKHA8P1","DOK5","RCSD1","PLS3"
"101","CD24","MAP4K1","CSTA","GNA15","FSTL1","S100A8","EVI2A","DLK1","S100A16","DSP","CDC20","SGCE","IQUB","NOG","INHBE","APOBEC3A","IDO1","S100A8","CSTA","CMPK2","TMEM176B","RAI14","ARHGAP9","FAT1","CTHRC1","C16ORF54","PTGDR","PPIC","HACD4","CFH","IL32","PMP22"
"102","PFN2","E2F5","AQP9","FKBP5","CHI3L1","MZB1","TGFBI","BEX1","TNFSF4","GPX2","BSPRY","ZFPM2","FAM46C","TFEC","CFI","CORO1A","OIP5","HOPX","OLR1","NRROS","LAPTM5","AGTR1","TNFSF13B","DLGAP5","POPDC3","IL1RN","PLEK","CALD1","FCGR3B","CRLF1","NLRC5","C1R"
"103","PODXL","KBTBD8","TMEM71","GINS1","MFAP2","LAPTM5","DNASE1L3","TTK","WWTR1","KRT6B","CDH1","MYLK","CARMIL1","LAPTM5","MBL2","SORL1","CALB1","GRHL3","HLA-DMA","GDPD1","RTN1","MEST","LCP1","NMU","VCAN","VNN3","TRG-AS1","SNX7","FAXDC2","CA12","ZC3H12D","VEGFC"
"104","HTRA1","C16ORF54","CD36","PMP22","TUBB2B","HLA-DMA","MREG","LAMA1","LDB2","IRF6","CCNB2","CNTN3","C5ORF58","CACNA2D3","SLC51A","HLA-DPA1","MEST","PKP1","CYP27A1","XIST","CD74","LAYN","MYO1F","CYYR1","YAP1","MEFV","GZMK","CAV2","DNAH12","UCHL1","GVINP1","IGFBP7"
"105","ARNT2","IGHV3-23","FGL2","HJURP","SMOC2","CLGN","MARCH1","LECT1","PALMD","SERPINB2","UBAC1","SPARC","GRTP1","LY75","F2","BIN2","FNBP1L","TGM1","S100A9","ICAM2","C16ORF54","DAB2","LCP2","UCHL1","MYH10","EVI2A","PRKCQ","SDC2","GIMAP6","CPE","TRG-AS1","PPIC"
"106","ST6GALNAC5","BCL2A1","TNFRSF17","TESC","TWIST1","HHEX","LCP1","FNBP1L","MYCT1","PRSS8","WNK3","OSR2","ESRP1","ARHGDIB","AGXT","MPO","TCF7L1","PYDC1","MYO1F","PRSS21","PECAM1","FAT1","SLC22A15","FAT3","PTPRK","MYO1F","SAMSN1","PXDN","SLC40A1","PLS3","CXCR4","ARMCX2"
"107","PMP22","CLEC2D","OLR1","MKI67","TGFB1I1","ARHGDIB","LY96","SNX7","ADGRG6","TNFRSF21","LBH","VCAN","GPR143","MZB1","C3","CTSS","IGFBP2","TRIM29","DAB2","ZNF521","TFEC","PCOLCE","CD37","SALL2","CTNNA2","FYB","PTPN22","SERPINE1","TRAF3IP3","TPBG","PTPRCAP","NT5E"
"108","SEPT3","SASH3","GIMAP7","CENPF","FERMT2","CD53","CSF2RB","POLR3G","MAP1B","SPINT1","CDKN3","FZD7","PNLDC1","CD37","HSD11B1","LCP1","CDH1","SGPP2","CSF1R","KIF15","C15ORF48","AMIGO2","RCSD1","BLACAT1","DTL","ALOX5","GBP2","SULF1","CARD16","CALD1","GBP2","CLMP"
"109","PLS3","IGLV3-1","RCSD1","MCM5","FN1","HLA-DQA1","CYP1B1","CALB1","RND3","DHRS9","NUF2","SFRP4","C10ORF82","CLGN","NAT8","ELANE","HELLS","DSC3","NPL","BUB1B","TGFBI","NQO1","CSGALNACT1","CRISPLD1","CDH2","MXD1","ARHGAP9","AMIGO2","ADGRE1","KCTD12","LCP1","ISLR"
"110","HLA-DRA","RASGRP1","CA2","KIF11","TGFBI","LCP1","LILRB2","RAI14","NR2F2","GPRC5A","ITGA4","CPE","CCNO","CLEC12A","TMEM176B","TMEM154","GINS1","UPK1A","CA2","FAM19A2","CD37","PXDN","EAF2","PLS3","KIF4A","CD53","PSMB8-AS1","FERMT2","DAB2","SULF1","TRABD2A","GPNMB"
"111","CNN3","ARHGDIB","CLEC4D","TMEM56","THY1","EPX","WNT5A","HMMR","DAB2","MT1X","FAM83D","CAV2","IL17B","DCANP1","GATM","ARHGAP15","FAT1","ATP6V1C2","FGL2","TOP2A","FYB","PTN","LAPTM5","RND3","TANC1","MPEG1","ABCB1","TMEM200A","PLAC8","SNX7","SORL1","CDC42EP5"
"112","TRIM9","HCLS1","SNCA","UCP2","TNC","MEST","CPVL","FAM64A","CXCL8","ASS1","MCM2","PLS3","TWIST1","OIP5","FOLH1","GMFG","SMARCA1","CASP14","SNX10","ST6GALNAC1","FCER1A","GLT8D2","PSTPIP1","SMARCA1","KIF11","CD300LF","ADGRE5","ISLR","RAB27B","GPNMB","RNF125","MYLK"
"113","DPYSL3","IKZF3","BCL2A1","MFNG","PPIC","DNTT","C1ORF162","TOP2A","HHEX","ERBB3","EIF1AY","CTSK","TRIM6","VAMP8","SERPINA4","CST7","SLC2A3","ANXA9","KMO","TMEM56","LILRA2","INHBA","LY75","NAP1L3","BCHE","TAGAP","GZMM","PLOD2","GIMAP2","SPARC","TMEM71","MFAP2"
"114","FSTL1","DOCK2","TNFSF13B","DEPDC1B","CAV1","HEMGN","LAPTM5","OIP5","ANGPT2","GJB6","KIF11","FERMT2","PDGFRL","HCLS1","LIPC","PLBD1","PSAT1","DSP","HSD11B1","GATA1","SAMSN1","PFN2","COL17A1","RAI14","MLLT11","GBP1","GIMAP2","PLS3","BIN2","PCOLCE","GMFG","SORBS2"
"115","UCHL1","EVI2A","MIR5195","CCNE1","CSRP2","LYL1","CXCL16","CENPV","SOX17","RNF128","TESC","NTN4","PLS1","CPVL","C4BPA","SIRPB1","RAI14","EPHX3","EVI2A","GINS1","CTSH","SNX7","PLBD1","RTN1","CDC20","MME","PTPN4","SERPINE2","IL7R","PLPP3","GZMB","FGF7"
"116","TGFB1I1","CTSH","SLC14A1","CD69","PLOD2","IL18","TLR8","CXADR","CRIM1","OR7E14P","FOXM1","ATP8B1","PRELID2","HLA-DQB1","BBOX1","PTPRC","SFRP1","HAL","GPAT3","CBFA2T3","CD300A","PPP1R3C","IGLL1","TOP2A","VANGL2","BRE-AS1","FAM169A","SGCE","CD53","PRSS23","BIN2","P4HA2"
"117","CA14","TPD52","MCEMP1","MLC1","NRN1","RGS18","QPCT","GINS1","TM6SF1","CAV1","SLC43A1","C1R","ANKRD7","PLEK","AQP9","CD37","SRPX","PTPRZ1","CD86","B3GALNT1","LRRK2","PHLDA2","NFE2","PBK","SDC2","CTSS","CCND2","MMP2","WASF3","HAS2","FLT3LG","BGN"
"118","ST8SIA1","PTPRC","SELENBP1","NUF2","SRPX2","BTK","SLC15A3","MFAP2","SULT1B1","RARRES3","ABCB10","PXDN","CSRP2","MEST","NNMT","CASP1","POLR3G","GJA1","ANPEP","HMMR","SELL","DSP","SLC22A16","IGFBP2","DLGAP5","TNFSF13B","RARRES3","HEPH","CD48","FERMT2","ARHGAP9","ACTA2"
"119","DPP10","EML6","ATP8B4","CDKN3","CALD1","SERPINB1","EPB41L3","PNMAL1","SNX7","CTGF","NUSAP1","COL6A2","IGFBP1","NRROS","C6","LAPTM5","CDCA7","CERS3","CD36","NLRC3","DOCK2","CDH13","ALOX5","LAMA1","WASF3","PDE4B","SLA","GATA6","GZMB","SLC16A4","HCLS1","TPBG"
"120","SGCE","LILRB1","CLEC4A","SLC29A1","PMP22","AKR1C3","ALOX5AP","KIF11","NFIB","ALDH1A1","AKR1C3","RDH10","SUGCT","PRAM1","CDO1","PSMB8-AS1","PTPRK","WFDC12","SLC38A6","CTSW","SIRPB1","GXYLT2","GMFG","FZD5","CENPV","ARG1","IL18R1","CCND1","BANK1","ARMCX2","SASH3","TMEM200A"
"121","IGFBPL1","BCL11A","RGL4","ARHGDIB","VGLL3","C9ORF43","SLC38A6","LAMB1","PLOD2","ATP8B1","NCAPH","SERPINE2","HENMT1","DTL","SLC6A1","LTB","CCNB2","S100P","EPB41L3","CLC","PSMB8-AS1","ARMCX2","ITGB2","CYR61","RRM2","CARD16","SLCO4C1","PTPRK","FAM65B","MYOF","DOCK2","CTSK"
"122","ROBO1","SYK","BLNK","ICAM2","PLPP3","SLC40A1","CECR1","GABRB3","IGFBP4","GJA1","ORC1","PRSS23","TIMD4","ARHGAP15","GNMT","ARHGDIB","TCEAL7","S100A14","CAPG","DEPTOR","HLA-DQB1","EMP1","CSF3R","SDC2","ARNT2","IL18RAP","GPR183","FZD7","CA2","FRMD6","HCST","SGCE"
"123","LHFP","FAM129C","CYTIP","CDCA7","SIX1","LMO2","CSTA","CCNB1","HECW2","C15ORF48","CCNB1","FRMD6","OTUD3","BIK","VNN1","CD69","CTSV","CALML3","MAFB","LCP2","RCSD1","MFAP2","ARHGDIB","DEPDC1B","CCNB2","DPEP2","PRR5L","GPX8","EVI2A","CAV2","TAGAP","SRPX2"
"124","RGMA","CD24","HLA-DPA1","CDC6","C1QTNF3","CNRIP1","MS4A7","ZSCAN10","ARHGDIB","ALOX15","KIT","NUPR1","FHOD3","PDE4B","GHR","ARHGAP9","NXN","LY6G6C","C1ORF162","CCNB2","LCP2","PLOD2","SLC2A5","CADM1","FAM64A","RSAD2","AKR1C3","CACNA2D1","CAV2","TMEM158","LY75","TMEM158"
"125","GLIS3","CD38","POU2AF1","TUBB2B","RSPO3","LY75","CTSZ","KIF20A","ITGA2","KRT23","TUBG1","AMOTL2","TMEM200A","C9ORF43","ALDH1A1","JCHAIN","SGCE","XKRX","DHRS9","RAB37","CSF2RB","PBK","CD48","SPC25","STMN2","GIMAP4","HCP5","PMP22","RAB37","P4HA2","ITGB2","ADAMTS2"
"126","COL4A2","GPR183","GPR160","PIR","CAV2","NPR3","PILRA","CENPH","MCTP1","PLS3","CENPU","LAYN","DUSP19","DEPTOR","RARRES2","RNASE6","LAMB1","MMP1","CD83","DEPDC1B","LPAR6","ANLN","PADI4","GULP1","BEND4","ADGRG3","LAPTM5","LAYN","MNDA","GLT8D2","PAG1","PAPSS2"
"127","COL4A1","PAG1","CD53","PRELID2","SNX7","CORO1A","TMEM255A","CALD1","PIR","CYP4X1","SLC14A1","IGFBP4","CR2","LAIR1","EHHADH","GIMAP2","BEND4","C19ORF33","DOCK4","NUP62CL","TYMP","PLK2","C1ORF228","SPOCK1","RAI14","CXCL16","NONAME769","SORBS2","RHOBTB1","LPAR1","GPRASP1","CRISPLD2"
"128","JAM2","HLA-DPB1","VCAN","FAM83D","PLS3","TMSB15A","SULF2","TCF7L1","SGCE","PRR15","E2F8","GNG11","BUB1B","MS4A6A","A1CF","ARHGAP25","HMMR","CSTA","TLR8","CPVL","HCLS1","CYP1B1","HCST","CLGN","CCNB1","CSTA","CXCR4","RAI14","CD3G","PLSCR4","C1ORF162","NID2"
"129","FERMT2","SEL1L3","RFESD","LEPR","NOV","ALOX5AP","FCER1A","GPX8","SHANK3","FUT3","UCP2","INMT","KIF4A","SERPINB2","CYP3A7","C1ORF162","PXDN","RDH12","MYOF","LYL1","TLR1","VCAN","ENTPD1","MDK","FNBP1L","FOS","KIR2DS4","COL4A2","CD36","ADAMTS5","KLF2","MYOF"
"130","TCEAL7","FAM65B","GMFG","FOXM1","SULF1","CD300LF","CTSH","ROBO1","MYOF","FAM83A","RANBP10","UCHL1","BMP6","CD300LF","PCK1","HLA-DRB1","FGF2","CPA4","FAM213A","CENPV","CD4","ARHGAP29","HP","ARMCX2","SOX2","SORL1","GATA3","MAP1B","IL10RA","PTGFR","TRAV13-2","ANPEP"
"131","ABAT","KMO","HCK","BSPRY","EPS8","CRISPLD1","CEBPA","PTPRK","EPB41L3","CHST9","CDC6","DACT1","CCNB1","HHEX","C4BPB","HSPA6","TERF1","TMEM45A","CD37","PMP22","TREM1","MYH10","DOCK2","KRT19","PRTFDC1","CFP","IRF8","ENPP2","PLA2G4C","PHLDA1","SAMSN1","RAI14"
"132","RBP1","PLEKHG1","APOBEC3A","LBH","RND3","MYO5C","KMO","IPW","PLA2G4A","DDR1","KIF20A","SCRG1","EPCAM","GINS1","C1R","RCSD1","ZSCAN10","C5ORF46","LCP2","CD37","ARHGDIB","PLAT","CXCR4","COL5A2","SPARC","EGR2","CORO1A","TGFBI","ZC3H12D","FBLN5","ARAP2","SLC2A10"
"133","ST8SIA5","PKHD1L1","CXCR4","CENPU","FBLN5","ICAM4","PALLD","CDC20","GIMAP2","TM4SF1","ALAD","COL4A1","NAA11","FGL2","C8B","LRMP","KIF20A","ELOVL4","PTPRO","SERPINE2","CXCR4","NONAME645","TMEM170B","TPBG","CDCA7","PLBD1","IFITM1","IGFBP7","TMEM71","SLC1A1","TBC1D10C","DKK3"
"134","PNMAL1","CDCA7","CR1L","ELOVL6","MIR100HG","PLS3","SLA","YAP1","TGM2","S100A16","ASPM","CNN3","DCT","SASH3","HGD","RASSF2","RHPN2","LY6D","TM6SF1","LCP1","RIN2","FGF5","MMP9","GREM1","RNF182","CD300A","EVI2A","TMEM45A","MCTP1","DAB2","PTGER2","PFN2"
"135","FAM134B","BTK","TRAC","HCLS1","DKK3","TFEC","CCL4","SLC2A3","KCTD12","IGFBP2","LMO2","FBN2","ABCB4","DPPA4","C8G","PLXNC1","NLGN4X","LCN2","CNIH3","GMFG","TMEM170B","SOX11","BCL2L15","SPARC","SNAI2","ISG20","DOCK2","AMOTL2","ASAP2","F2R","ETS1","PHLDA2"
"136","MEGF11","GPR65","SUCNR1","LCP1","LAMB1","BCL11A","CXCR4","TJP1","HHIP-AS1","MECOM","RCL1","IFI27","OIP5","SERPINB1","SLC17A3","GIMAP6","CENPV","SERPINB2","CEBPA","MCM2","CXCL16","FAM114A1","FUT4","CENPH","HMMR","SIRPB1","SORL1","TM4SF1","CD69","SERPINE2","INPP4B","SRGN"
"137","ZNF521","CTSS","EVI2A","FAM124B","RECK","HLA-DQB1","BCL2A1","PXDN","PTPRK","PFN2","PRKAR2B","H19","DSG2-AS1","HPGDS","CLDN1","CD300LF","TJP1","VSIG10L","NRP1","FAM89A","THEMIS2","DLGAP5","LILRB2","SLIT2","NID2","ARHGAP25","BIRC3","MAMDC2","ITGA2B","HEPH","SH2D1A","DAB2"
