"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"1264",NA,"CDK10","PCDHGA10",NA,NA,NA,"PPFIBP1",NA,"GRASP","SERPINI1",NA,NA,NA,"SDF2L1",NA,"MSN",NA,NA,NA,"CTNND1",NA,"CRTAP","TANC2"
"1265",NA,"DNAJA3","EMP2",NA,NA,NA,"SLX1B",NA,"SCG5","SNHG10",NA,NA,NA,"TSPAN14",NA,"XPNPEP1",NA,NA,NA,"MSTO1",NA,"HSP90B1","AGMAT"
"1266",NA,"GBP5","MELK",NA,NA,NA,"CCNB1IP1",NA,"ALDOA","STOML2",NA,NA,NA,"APBB2",NA,"CELF2",NA,NA,NA,"RASSF8",NA,"ATL3","GTF2IRD2B"
"1267",NA,"GRAMD4","BPGM",NA,NA,NA,"DNM2",NA,"EIF4EBP1","DOK3",NA,NA,NA,"RPP21",NA,"MYLK",NA,NA,NA,"SYT11",NA,"OSTC","PITPNM1"
"1268",NA,"GRK6","LRP10",NA,NA,NA,"KIFC3",NA,"SLC9A7","H2AFJ",NA,NA,NA,"DPP4",NA,"SLC4A7",NA,NA,NA,"ARHGAP18",NA,"COX7B","BRIX1"
"1269",NA,"RPS3A","LRRC2",NA,NA,NA,"PIGA",NA,"UQCRB","NLRC5",NA,NA,NA,"BOLA1",NA,"SNAPC1",NA,NA,NA,"LY6E",NA,"FAM126A","GLOD4"
"1270",NA,"SYPL1","LYNX1",NA,NA,NA,"PLTP",NA,"WIPI1","NRIP1",NA,NA,NA,"EIF3C",NA,"SRPK3",NA,NA,NA,"PIK3CD",NA,"GZF1","TRPV2"
"1271",NA,"TLR1","PAK1",NA,NA,NA,"GNB2",NA,"HIST1H1B","RPL31",NA,NA,NA,"LSM7",NA,"RPS6KA2",NA,NA,NA,"RAVER1",NA,"PARVA","SAMSN1"
"1272",NA,"ETV7","RARG",NA,NA,NA,"LIF",NA,"ROBO1","CHCHD5",NA,NA,NA,"TSEN34",NA,"SLC12A4",NA,NA,NA,"SLC22A15",NA,"TTC37","TRERF1"
"1273",NA,"ORMDL3","RBP4",NA,NA,NA,"SDCBP2",NA,"RPS18","GLA",NA,NA,NA,"TUFT1",NA,"TPI1",NA,NA,NA,"EML1",NA,"C12ORF76","CAPN10"
"1274",NA,"VARS","ARNT2",NA,NA,NA,"TPM4",NA,"ATOX1","IKBKE",NA,NA,NA,"ZNF703",NA,"C4ORF3",NA,NA,NA,"GPX7",NA,"LHFP","POP5"
"1275",NA,"ANKRD12","HIST1H2BE",NA,NA,NA,"BAX",NA,"BAX","RNASEH2B",NA,NA,NA,"BCL2L1",NA,"GADD45B",NA,NA,NA,"TTYH3",NA,"SKIL","RAD54B"
"1276",NA,"ATP5J","MARVELD1",NA,NA,NA,"CCDC66",NA,"RPL34","SS18L2",NA,NA,NA,"LMNB1",NA,"HDAC9",NA,NA,NA,"C1ORF198",NA,"B4GALT4","TPT1"
"1277",NA,"ELOVL5","MYO10",NA,NA,NA,"MAGED4",NA,"COMMD6","IKZF5",NA,NA,NA,"AK4",NA,"PLAC9",NA,NA,NA,"CLSTN1",NA,"BIRC5","CDK5RAP1"
"1278",NA,"HIVEP2","ZNF883",NA,NA,NA,"NFKBIE",NA,"FGD1","MRPL9",NA,NA,NA,"CORO1C",NA,"RIN2",NA,NA,NA,"CORO2B",NA,"RUFY3","PTPN4"
"1279",NA,"SOCS3","FOXM1",NA,NA,NA,"RPL36",NA,"RPL18A","SCRN2",NA,NA,NA,"DDIT4",NA,"C7ORF50",NA,NA,NA,"CYFIP1",NA,"TNFRSF10B","UBASH3B"
"1280",NA,"WFS1","PON2",NA,NA,NA,"RUVBL1",NA,"SLC22A17","DPYSL2",NA,NA,NA,"EVPL",NA,"EIF3CL",NA,NA,NA,"TEAD3",NA,"TP53TG1","USP15"
"1281",NA,"DICER1-AS1","RPSA",NA,NA,NA,"CBS",NA,"SPATS2L","IFT57",NA,NA,NA,"NPPB",NA,"ETS1",NA,NA,NA,"EPHB4",NA,"ZC3H4","ZBTB25"
"1282",NA,"SRRM2","F8",NA,NA,NA,"SMO",NA,"SPEG","MTF2",NA,NA,NA,"PHLDA3",NA,"ISLR",NA,NA,NA,"IFITM3",NA,"ARHGEF10L",NA
"1283",NA,"DPY19L3","PPM1H",NA,NA,NA,"UFM1",NA,"COX5A","ZNF429",NA,NA,NA,"RAB3IP",NA,"NDUFC2-KCTD14",NA,NA,NA,"PCDHGB4",NA,"CXXC5",NA
"1284",NA,"FCER2",NA,NA,NA,NA,"BAZ2B",NA,"GNAI2","ACTN1",NA,NA,NA,"ZNF827",NA,"PSPH",NA,NA,NA,"PLK1",NA,"SART1",NA
"1285",NA,"RPL31",NA,NA,NA,NA,"CD59",NA,"PCDHGA12","CENPW",NA,NA,NA,"CCDC86",NA,"VSTM2L",NA,NA,NA,"EID3",NA,"SDSL",NA
"1286",NA,"ACN9",NA,NA,NA,NA,"SERPINB6",NA,"RAB13","EIF3CL",NA,NA,NA,"CKS1B",NA,"NDN",NA,NA,NA,"GEM",NA,"SLC7A5P1",NA
"1287",NA,"RPS6KB2",NA,NA,NA,NA,"THOP1",NA,"TMEM14A","MAP4K2",NA,NA,NA,"HES6",NA,"PDIA5",NA,NA,NA,"EDIL3",NA,"MLPH",NA
"1288",NA,"ZNF251",NA,NA,NA,NA,"S100A6",NA,"DNAJB4","CYP51A1",NA,NA,NA,"DANCR",NA,"SMTN",NA,NA,NA,"KCTD17",NA,"NAPEPLD",NA
"1289",NA,"C2ORF74",NA,NA,NA,NA,"SLC25A23",NA,"LIMS2","VDAC1",NA,NA,NA,"GALE",NA,"ARSJ",NA,NA,NA,"PTP4A2",NA,"ZNF441",NA
"1290",NA,"CKS1B",NA,NA,NA,NA,"SMARCD2",NA,"RPL39","DRAM1",NA,NA,NA,"NEO1",NA,"BID",NA,NA,NA,"TMEM8A",NA,"FAM21C",NA
"1291",NA,"QPCT",NA,NA,NA,NA,"TARS",NA,"SCN1B","EIF3C",NA,NA,NA,"TMEM102",NA,"CPD",NA,NA,NA,"AKAP12",NA,"RPL37A",NA
"1292",NA,"STAT6",NA,NA,NA,NA,"HMGB3",NA,"SEZ6L2","P2RX4",NA,NA,NA,"TRAF4",NA,"EBNA1BP2",NA,NA,NA,"CFL2",NA,"RRBP1",NA
"1293",NA,"AKT2",NA,NA,NA,NA,"LURAP1L",NA,"HIST1H3H","RASSF2",NA,NA,NA,"ARHGAP29",NA,"NIPAL2",NA,NA,NA,"DNM3OS",NA,"SMAD3",NA
"1294",NA,"CLSTN1",NA,NA,NA,NA,"OSMR",NA,"LASP1","WEE1",NA,NA,NA,"HSPA12A",NA,"SCCPDH",NA,NA,NA,"SSTR1",NA,"CPA4",NA
"1295",NA,"ZDHHC23",NA,NA,NA,NA,"ANXA5",NA,"PRKCA","ARMCX1",NA,NA,NA,"SYNJ2",NA,"TAGLN2",NA,NA,NA,"TGFB1",NA,"SESTD1",NA
"1296",NA,"ANKRD36B",NA,NA,NA,NA,"EIF2S1",NA,"RPGRIP1L","CLK4",NA,NA,NA,"BCAS4",NA,"FBLN1",NA,NA,NA,"TK1",NA,"SSC5D",NA
"1297",NA,"PCNXL3",NA,NA,NA,NA,"FJX1",NA,"TIMP4","GLOD4",NA,NA,NA,"HIST1H2BJ",NA,"TSPAN9",NA,NA,NA,"TLN2",NA,"TGIF1",NA
"1298",NA,"SMAD5",NA,NA,NA,NA,"GBP1",NA,"WLS","RPL34",NA,NA,NA,"PSPH",NA,"COL13A1",NA,NA,NA,"ARHGEF12",NA,"FAM102A",NA
"1299",NA,"ICOSLG",NA,NA,NA,NA,"HSPA1B",NA,"ARNT2","SCNM1",NA,NA,NA,"SIGIRR",NA,"GPSM1",NA,NA,NA,"DDX3Y",NA,"LAYN",NA
"1300",NA,"IPO5",NA,NA,NA,NA,"IFFO2",NA,"CGREF1","TPT1-AS1",NA,NA,NA,"ANKRD18A",NA,"LARS",NA,NA,NA,"GLUL",NA,"P4HTM",NA
"1301",NA,"PHGDH",NA,NA,NA,NA,"OLA1",NA,"NRG1","HSPA5",NA,NA,NA,"IQGAP1",NA,"MBD3",NA,NA,NA,"SERPINB7",NA,"SLC35F2",NA
"1302",NA,NA,NA,NA,NA,NA,"SHMT1",NA,"STARD4","MILR1",NA,NA,NA,"MTFP1",NA,"MYL6",NA,NA,NA,"CCDC66",NA,"PLEKHG5",NA
"1303",NA,NA,NA,NA,NA,NA,"SYF2",NA,"CCDC144B","POMT1",NA,NA,NA,"SREBF1",NA,"PTGS1",NA,NA,NA,"CDC42BPA",NA,"TMEM45A",NA
"1304",NA,NA,NA,NA,NA,NA,"ZNF395",NA,"MGST3","WBSCR22",NA,NA,NA,"ALYREF",NA,"ARHGAP29",NA,NA,NA,"PFDN4",NA,"WNT5A",NA
"1305",NA,NA,NA,NA,NA,NA,"C11ORF54",NA,"PDIA5","MRPL11",NA,NA,NA,"ANPEP",NA,"DUSP14",NA,NA,NA,"SNX21",NA,"EPB41L3",NA
"1306",NA,NA,NA,NA,NA,NA,"FDXR",NA,"SSC5D","NDUFAF4",NA,NA,NA,"GAK",NA,"EXTL2",NA,NA,NA,"ARHGAP23",NA,"MIRLET7BHG",NA
"1307",NA,NA,NA,NA,NA,NA,"LMNB1",NA,"TJP2","SEC61B",NA,NA,NA,"SLC2A6",NA,"KCTD17",NA,NA,NA,"COPZ2",NA,"NALCN",NA
"1308",NA,NA,NA,NA,NA,NA,"PHB",NA,"GXYLT2","SKA3",NA,NA,NA,"TNS3",NA,"TIMM8B",NA,NA,NA,"CSF1",NA,"PLOD3",NA
"1309",NA,NA,NA,NA,NA,NA,"CENPF",NA,"LSS","TNFAIP3",NA,NA,NA,"APRT",NA,"HIST1H3J",NA,NA,NA,"KHSRP",NA,"TSPAN9",NA
"1310",NA,NA,NA,NA,NA,NA,"ERV3-1",NA,"POLD4","WDR6",NA,NA,NA,"MELK",NA,"RPL23AP82",NA,NA,NA,"MEX3D",NA,"TYMS",NA
"1311",NA,NA,NA,NA,NA,NA,"GRN",NA,"SMAD3","BIN1",NA,NA,NA,"STMN1",NA,"TP53TG1",NA,NA,NA,"RBM3",NA,"CYGB",NA
"1312",NA,NA,NA,NA,NA,NA,"NPM1",NA,"TMEM14C","COMMD1",NA,NA,NA,"ARSJ",NA,"ANKRD44",NA,NA,NA,"TRIM25",NA,"AMN1",NA
"1313",NA,NA,NA,NA,NA,NA,"PKD1",NA,"TMEM223","TST",NA,NA,NA,"GAL3ST1",NA,"ENO1",NA,NA,NA,"UCK2",NA,"GOLM1",NA
"1314",NA,NA,NA,NA,NA,NA,"GALM",NA,"TXNRD1","UBE2N",NA,NA,NA,"VGLL3",NA,"HMGN3",NA,NA,NA,"ATG4D",NA,"MTA2",NA
"1315",NA,NA,NA,NA,NA,NA,"HK2",NA,"CD63","GTF3C6",NA,NA,NA,"GCSH",NA,"OSMR",NA,NA,NA,"CADPS",NA,"RRAGB",NA
"1316",NA,NA,NA,NA,NA,NA,"HMGN3",NA,"PXDC1","NET1",NA,NA,NA,"PRICKLE2",NA,"FASTK",NA,NA,NA,"ATM",NA,"CIT",NA
"1317",NA,NA,NA,NA,NA,NA,"KDM1A",NA,"RPS5","PCNA",NA,NA,NA,"PTPMT1",NA,"FZD2",NA,NA,NA,"MFAP4",NA,"FAM171B",NA
"1318",NA,NA,NA,NA,NA,NA,"NSUN5",NA,"SLC39A10","ETS2",NA,NA,NA,"SIGMAR1",NA,"GALNT7",NA,NA,NA,"NLRP1",NA,"IMMP2L",NA
"1319",NA,NA,NA,NA,NA,NA,"BHLHE40",NA,"WASF1","LAMB2",NA,NA,NA,"CDH16",NA,"GAMT",NA,NA,NA,"PTPRU",NA,"NLRP1",NA
"1320",NA,NA,NA,NA,NA,NA,"IRX2",NA,"HSPA1B","RPL26",NA,NA,NA,"CSNK1E",NA,"SERF1A",NA,NA,NA,"NEO1",NA,"TBC1D8B",NA
"1321",NA,NA,NA,NA,NA,NA,"SLC25A1",NA,"RAB3IL1","SQRDL",NA,NA,NA,"PDIA4",NA,"COPS8",NA,NA,NA,"SLC39A13",NA,"RGS3",NA
"1322",NA,NA,NA,NA,NA,NA,"SORBS2",NA,"RBMS3","SSR1",NA,NA,NA,"RHPN2",NA,"MRPL3",NA,NA,NA,"STK17B",NA,"TJP2",NA
"1323",NA,NA,NA,NA,NA,NA,"FZD7",NA,"NME1","CTSC",NA,NA,NA,"SEMA3A",NA,"SMURF2",NA,NA,NA,"ABTB2",NA,"CYB5A",NA
"1324",NA,NA,NA,NA,NA,NA,"GPR176",NA,"CTSB","THEM4",NA,NA,NA,"SMPD4",NA,"ULBP2",NA,NA,NA,"HSPB6",NA,"GNG2",NA
"1325",NA,NA,NA,NA,NA,NA,"MCM2",NA,"EPHB4","THOC7",NA,NA,NA,"UPK3BL",NA,"EIF3E",NA,NA,NA,"BAZ2A",NA,"KCNK1",NA
"1326",NA,NA,NA,NA,NA,NA,"STK11",NA,"ACTB","ZNF350",NA,NA,NA,"ADAMTS10",NA,"LHFPL2",NA,NA,NA,"MTHFD1L",NA,"RPSA",NA
"1327",NA,NA,NA,NA,NA,NA,"STRBP",NA,"FDXR","GCSH",NA,NA,NA,"ECHDC3",NA,"ELOVL1",NA,NA,NA,"ARL17A",NA,"SLC44A1",NA
"1328",NA,NA,NA,NA,NA,NA,"ZNF611",NA,"KIAA0895L","POMP",NA,NA,NA,"GRINA",NA,"HIST1H3E",NA,NA,NA,"GTSF1",NA,"ARL1",NA
"1329",NA,NA,NA,NA,NA,NA,"CA12",NA,"OST4","STK3",NA,NA,NA,"APH1A",NA,"TSC22D3",NA,NA,NA,"RPS5",NA,"CNN1",NA
"1330",NA,NA,NA,NA,NA,NA,"CSNK1E",NA,"PPFIBP2","TSPYL2",NA,NA,NA,"ECT2",NA,"ARMCX1",NA,NA,NA,"ST5",NA,"RAPGEF6",NA
"1331",NA,NA,NA,NA,NA,NA,"ENY2",NA,"SSR4","CTBP2",NA,NA,NA,"GFPT2",NA,"PID1",NA,NA,NA,"ARHGAP22",NA,"ZBTB20",NA
"1332",NA,NA,NA,NA,NA,NA,"HIST1H1C",NA,"TYMP","LTV1",NA,NA,NA,"KRT80",NA,"PNMA2",NA,NA,NA,"PDE4D",NA,"CHEK1",NA
"1333",NA,NA,NA,NA,NA,NA,"PGM2L1",NA,"ARHGEF40","MAGI2-AS3",NA,NA,NA,"TRIP6",NA,"CD68",NA,NA,NA,"PODXL",NA,"HIST3H2BB",NA
"1334",NA,NA,NA,NA,NA,NA,"C16ORF13",NA,"ASH2L","PPFIBP1",NA,NA,NA,"ZEB2",NA,"HIST4H4",NA,NA,NA,"EIF3CL",NA,"MYL6B",NA
"1335",NA,NA,NA,NA,NA,NA,"GLUL",NA,"CELF2","PTPLAD2",NA,NA,NA,"BASP1",NA,"KIFC3",NA,NA,NA,"PDIA5",NA,"PLEKHA2",NA
"1336",NA,NA,NA,NA,NA,NA,"HN1L",NA,"EPN1","SUB1",NA,NA,NA,"GNA11",NA,"SLFN11",NA,NA,NA,"RELB",NA,"RDH11",NA
"1337",NA,NA,NA,NA,NA,NA,"IFNGR2",NA,"EEF1A1","BLVRB",NA,NA,NA,"IQGAP3",NA,"CTSB",NA,NA,NA,"TOM1",NA,"SEMA4B",NA
"1338",NA,NA,NA,NA,NA,NA,"KCNMA1",NA,"FBXO32","CASP8",NA,NA,NA,"RPLP1",NA,"IFITM3",NA,NA,NA,"CDCA8",NA,"EXT2",NA
"1339",NA,NA,NA,NA,NA,NA,"MELK",NA,"ITGA2","IFNAR2",NA,NA,NA,"FILIP1L",NA,"LZTS1",NA,NA,NA,"CHEK1",NA,"RBM14-RBM4",NA
"1340",NA,NA,NA,NA,NA,NA,"GNA11",NA,"LRP11","TUBB",NA,NA,NA,"KLF16",NA,"RAP1GDS1",NA,NA,NA,"MTA2",NA,"DTWD1",NA
"1341",NA,NA,NA,NA,NA,NA,"LARS",NA,"RNF7","WDR61",NA,NA,NA,"FAM89B",NA,"RUNX1",NA,NA,NA,"RRN3P3",NA,"EPRS",NA
"1342",NA,NA,NA,NA,NA,NA,"LRP10",NA,"AP1S1","FAM46C",NA,NA,NA,"SULF2",NA,"B3GNT9",NA,NA,NA,"ARHGEF17",NA,"MMP16",NA
"1343",NA,NA,NA,NA,NA,NA,"MGST1",NA,"CCNA2","SMAD1",NA,NA,NA,"TERC",NA,"HIPK3",NA,NA,NA,"ATAD3A",NA,"NLGN2",NA
"1344",NA,NA,NA,NA,NA,NA,"PAPLN",NA,"CENPV","C4ORF46",NA,NA,NA,"PHC2",NA,"JUN",NA,NA,NA,"ERN1",NA,"ATP9A",NA
"1345",NA,NA,NA,NA,NA,NA,"RTKN",NA,"JOSD2","ERV3-1",NA,NA,NA,"RPL35",NA,"SMARCA1",NA,NA,NA,"PPP1R15A",NA,"C1ORF21",NA
"1346",NA,NA,NA,NA,NA,NA,"MID1IP1",NA,"STARD5","MBOAT7",NA,NA,NA,"AARS",NA,"GPAT2",NA,NA,NA,"RHOBTB1",NA,"HEXB",NA
"1347",NA,NA,NA,NA,NA,NA,"NPDC1",NA,"TRO","TOMM6",NA,NA,NA,"ARNT2",NA,"RHOBTB1",NA,NA,NA,"ACOT7",NA,"DYNC1H1",NA
"1348",NA,NA,NA,NA,NA,NA,"TMEM30B",NA,"HCFC1R1","TTC37",NA,NA,NA,"DOPEY2",NA,"TIMM17B",NA,NA,NA,"CLCN7",NA,"SLC2A1",NA
"1349",NA,NA,NA,NA,NA,NA,"AFAP1L1",NA,"ARPC5","B3GAT3",NA,NA,NA,"MAP4K2",NA,"ECHS1",NA,NA,NA,"CMTM3",NA,"TRIM34",NA
"1350",NA,NA,NA,NA,NA,NA,"DYNC1I2",NA,"C4ORF3","CHCHD6",NA,NA,NA,"SCRIB",NA,"TMEM38B",NA,NA,NA,"DYRK3",NA,"CFL2",NA
"1351",NA,NA,NA,NA,NA,NA,"MST1R",NA,"IRS1","PRC1",NA,NA,NA,"LIMK1",NA,"C12ORF57",NA,NA,NA,"PCDHGA10",NA,"MRPS21",NA
"1352",NA,NA,NA,NA,NA,NA,"EHD4",NA,"LSM4","ANKRD36B",NA,NA,NA,"OAZ2",NA,"DPCD",NA,NA,NA,"SLC44A2",NA,"B4GALT2",NA
"1353",NA,NA,NA,NA,NA,NA,"FADS1",NA,"SERF1A","IP6K2",NA,NA,NA,"PHPT1",NA,"FRMD3",NA,NA,NA,"SPATS2L",NA,"C3ORF58",NA
"1354",NA,NA,NA,NA,NA,NA,"PNPLA6",NA,"ADORA2B","MOV10",NA,NA,NA,"TES",NA,"PGBD3",NA,NA,NA,"ACAP2",NA,"EHBP1",NA
"1355",NA,NA,NA,NA,NA,NA,"SLC4A7",NA,"CBR1","PLCG2",NA,NA,NA,"CORO7-PAM16",NA,"THBD",NA,NA,NA,"GSTP1",NA,"GMPR",NA
"1356",NA,NA,NA,NA,NA,NA,"TP53INP1",NA,"MESDC1","PPIE",NA,NA,NA,"ENPEP",NA,"CCT3",NA,NA,NA,"LMCD1",NA,"PROS1",NA
"1357",NA,NA,NA,NA,NA,NA,"TYMP",NA,"MIR210HG","TNFRSF14",NA,NA,NA,"EPPK1",NA,"HIST1H2BO",NA,NA,NA,"TTLL4",NA,"RNF213",NA
"1358",NA,NA,NA,NA,NA,NA,"ARHGAP24",NA,"ARSJ","ACSS2",NA,NA,NA,"VARS",NA,"NDUFA2",NA,NA,NA,"BNIP3",NA,"RPL5",NA
"1359",NA,NA,NA,NA,NA,NA,"CCT3",NA,"SCAMP2","ALDOA",NA,NA,NA,"IGF2BP2",NA,"PARD3",NA,NA,NA,"ETS1",NA,"RPS6KA2",NA
"1360",NA,NA,NA,NA,NA,NA,"MTHFD1L",NA,"UBE2T","ANPEP",NA,NA,NA,"PARD3",NA,"CTSF",NA,NA,NA,"IGF1R",NA,"SRCAP",NA
"1361",NA,NA,NA,NA,NA,NA,"OVOL1",NA,"MYCBP","DNAJC12",NA,NA,NA,"ALDH18A1",NA,"IDH2",NA,NA,NA,"MYBL2",NA,"VAMP5",NA
"1362",NA,NA,NA,NA,NA,NA,"CCNA2",NA,"PHLDB2","RUVBL1",NA,NA,NA,"CIB2",NA,"ZNF654",NA,NA,NA,"SMC1A",NA,"WDR54",NA
"1363",NA,NA,NA,NA,NA,NA,"CPT1A",NA,"SMTN","TMEM123",NA,NA,NA,"IARS",NA,"NDUFS4",NA,NA,NA,"TES",NA,"ARL4D",NA
"1364",NA,NA,NA,NA,NA,NA,"CTSB",NA,"STAT6","C11ORF49",NA,NA,NA,"SLC44A2",NA,"RPLP1",NA,NA,NA,"TMC6",NA,"CTSB",NA
"1365",NA,NA,NA,NA,NA,NA,"MFSD10",NA,"TLN2","CLEC12A",NA,NA,NA,"SYT11",NA,"SLC39A13",NA,NA,NA,"AKT2",NA,"ELOVL5",NA
"1366",NA,NA,NA,NA,NA,NA,"MIR210HG",NA,"FAS","COX16",NA,NA,NA,"CNDP2",NA,"XRCC4",NA,NA,NA,"AMOTL1",NA,"LINC00472",NA
"1367",NA,NA,NA,NA,NA,NA,"BZW2",NA,"MAZ","PELI1",NA,NA,NA,"DAPK3",NA,"ENDOD1",NA,NA,NA,"CFD",NA,"NPM3",NA
"1368",NA,NA,NA,NA,NA,NA,"CHEK1",NA,"NENF","STK17B",NA,NA,NA,"HDAC7",NA,"ITGAE",NA,NA,NA,"NFAT5",NA,"SLC1A1",NA
"1369",NA,NA,NA,NA,NA,NA,"TRIM22",NA,"RAI1","ZSCAN30",NA,NA,NA,"HIP1R",NA,"TRPS1",NA,NA,NA,"SORBS3",NA,"ATM",NA
"1370",NA,NA,NA,NA,NA,NA,"ZEB2",NA,"ZNF528","BRCA1",NA,NA,NA,"IPO4",NA,"ABCE1",NA,NA,NA,"SPATA20",NA,"RDH5",NA
"1371",NA,NA,NA,NA,NA,NA,"AKAP2",NA,"B4GALT2","CPNE8",NA,NA,NA,"RPH3AL",NA,"ACBD6",NA,NA,NA,"ZNF528",NA,"SNAI2",NA
"1372",NA,NA,NA,NA,NA,NA,"ARL2",NA,"CARD16","DDX47",NA,NA,NA,"SYNGR1",NA,"ALDH1B1",NA,NA,NA,"COL5A3",NA,"ARHGEF40",NA
"1373",NA,NA,NA,NA,NA,NA,"GCNT2",NA,"CPD","MIR155HG",NA,NA,NA,"SIPA1L2",NA,"CHRAC1",NA,NA,NA,"CSMD1",NA,"FLNB",NA
"1374",NA,NA,NA,NA,NA,NA,"RCC2",NA,"FAM46B","NIPSNAP3B",NA,NA,NA,"SPC24",NA,"CSNK1E",NA,NA,NA,"FAM102A",NA,"GALNT7",NA
"1375",NA,NA,NA,NA,NA,NA,"TGM1",NA,"MBOAT2",NA,NA,NA,NA,"TFPI2",NA,"INPPL1",NA,NA,NA,"LMBRD2",NA,"NAALADL1",NA
"1376",NA,NA,NA,NA,NA,NA,"ARSJ",NA,"PTPN23",NA,NA,NA,NA,"PLEKHA7",NA,"DGKI",NA,NA,NA,"MLLT4",NA,"RANBP1",NA
"1377",NA,NA,NA,NA,NA,NA,"DPCD",NA,"HIGD2A",NA,NA,NA,NA,"TSC22D3",NA,"DOCK1",NA,NA,NA,"PCBP4",NA,"TCF4",NA
"1378",NA,NA,NA,NA,NA,NA,"ID4",NA,"PTPRG",NA,NA,NA,NA,"BNC1",NA,"GYS1",NA,NA,NA,"CARHSP1",NA,"TNS3",NA
"1379",NA,NA,NA,NA,NA,NA,"IDH2",NA,"SLC38A2",NA,NA,NA,NA,"CRYZ",NA,"PRR7",NA,NA,NA,"FBXO10",NA,"WTIP",NA
"1380",NA,NA,NA,NA,NA,NA,"RAC2",NA,"STXBP1",NA,NA,NA,NA,"GULP1",NA,"SCARB2",NA,NA,NA,"HRH1",NA,"CLEC2B",NA
"1381",NA,NA,NA,NA,NA,NA,"RPL18",NA,"APBB2",NA,NA,NA,NA,"MLLT1",NA,"APBB1",NA,NA,NA,"TAOK3",NA,"LARS",NA
"1382",NA,NA,NA,NA,NA,NA,"CD47",NA,"CDC42BPB",NA,NA,NA,NA,"SCCPDH",NA,"PRADC1",NA,NA,NA,"TOMM40",NA,"NSA2",NA
"1383",NA,NA,NA,NA,NA,NA,"FAM162A",NA,"GNG2",NA,NA,NA,NA,"TMUB1",NA,"PYROXD2",NA,NA,NA,NA,NA,"PCDHGC3",NA
"1384",NA,NA,NA,NA,NA,NA,"LARP6",NA,"PRR5",NA,NA,NA,NA,"CBR1",NA,"TMEM147",NA,NA,NA,NA,NA,"PTGR1",NA
"1385",NA,NA,NA,NA,NA,NA,"MBD3",NA,"RRM2",NA,NA,NA,NA,"PLOD2",NA,"TSEN34",NA,NA,NA,NA,NA,"SYTL2",NA
"1386",NA,NA,NA,NA,NA,NA,"TM7SF2",NA,"HMG20B",NA,NA,NA,NA,"PRR7",NA,NA,NA,NA,NA,NA,NA,"LRP5L",NA
"1387",NA,NA,NA,NA,NA,NA,"BAIAP2",NA,"NLRP1",NA,NA,NA,NA,"RAB15",NA,NA,NA,NA,NA,NA,NA,"SH3D19",NA
"1388",NA,NA,NA,NA,NA,NA,"EIF3E",NA,"PRICKLE2",NA,NA,NA,NA,"TRIM62",NA,NA,NA,NA,NA,NA,NA,"SNX21",NA
"1389",NA,NA,NA,NA,NA,NA,"LGMN",NA,"SEC24D",NA,NA,NA,NA,"C1ORF198",NA,NA,NA,NA,NA,NA,NA,"ZMAT2",NA
"1390",NA,NA,NA,NA,NA,NA,"SGK1",NA,"SIGIRR",NA,NA,NA,NA,"FABP3",NA,NA,NA,NA,NA,NA,NA,"EYA4",NA
"1391",NA,NA,NA,NA,NA,NA,"TPX2",NA,"C19ORF53",NA,NA,NA,NA,"ME3",NA,NA,NA,NA,NA,NA,NA,"HIST1H1B",NA
"1392",NA,NA,NA,NA,NA,NA,"VCL",NA,"CBR3",NA,NA,NA,NA,"MOV10",NA,NA,NA,NA,NA,NA,NA,"ISG15",NA
"1393",NA,NA,NA,NA,NA,NA,"ALYREF",NA,"CHST14",NA,NA,NA,NA,"RNF130",NA,NA,NA,NA,NA,NA,NA,"PFDN5",NA
"1394",NA,NA,NA,NA,NA,NA,"FPGS",NA,"PDE4B",NA,NA,NA,NA,"THOP1",NA,NA,NA,NA,NA,NA,NA,"TOMM5",NA
"1395",NA,NA,NA,NA,NA,NA,"HOXB6",NA,"RGS3",NA,NA,NA,NA,"AFAP1",NA,NA,NA,NA,NA,NA,NA,"ATP5J2",NA
"1396",NA,NA,NA,NA,NA,NA,"ABLIM3",NA,"YBEY",NA,NA,NA,NA,"CYB5A",NA,NA,NA,NA,NA,NA,NA,"CIC",NA
"1397",NA,NA,NA,NA,NA,NA,"CYB5R2",NA,"BAHCC1",NA,NA,NA,NA,"SPSB1",NA,NA,NA,NA,NA,NA,NA,"FAM102B",NA
"1398",NA,NA,NA,NA,NA,NA,"HCFC1",NA,"CCNF",NA,NA,NA,NA,"TLE1",NA,NA,NA,NA,NA,NA,NA,"KCTD12",NA
"1399",NA,NA,NA,NA,NA,NA,"MRPL3",NA,"P4HTM",NA,NA,NA,NA,"PDXK",NA,NA,NA,NA,NA,NA,NA,"OBSL1",NA
"1400",NA,NA,NA,NA,NA,NA,"PRPF18",NA,"TMEM42",NA,NA,NA,NA,"TMEM147",NA,NA,NA,NA,NA,NA,NA,"SMS",NA
"1401",NA,NA,NA,NA,NA,NA,"SERAC1",NA,"TOR2A",NA,NA,NA,NA,"GPX3",NA,NA,NA,NA,NA,NA,NA,"TNKS1BP1",NA
