"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"775","BCAT1","TNFAIP8","BAIAP2L1","AES","TRIM22","PSTPIP2","VDAC1","PRPS2","ZEB2","PLEKHA5","RPS18","IMPA2","ABCB6","FAM149A","SOAT1","RRAD",NA,"SH3GLB1","PBXIP1","SHC1","SELENBP1","RPL10A","IFI44"
"776","PLEC","CDKN1B","DTWD1","CCDC85C","BUB1","CTDSP1","CDKN1C","ANXA1","SGCD","CKAP2","ESYT1","DBI","AURKB","FOXP1","RPS17","B4GALT2",NA,"SNX18","PPA1","MAGED4B","ALDOA","FZD8","SAP25"
"777","GFRA1","LPXN","APOL3","MFHAS1","FRMD4A","HIST1H2AI","LITAF","DCLRE1A","CCND3","CORO1C","PFKP","MIPEP","FADS1","SCARB1","IQGAP1","DAB2",NA,"SP110","RPS21","TSPAN3","ECSIT","ITM2C","SNHG6"
"778","DAP","RPS27","SCD","CORO1B","SLC29A1","RNF24","F2R","FDPS","HIST1H2AH","PBXIP1","CRELD2","NCF1","TUSC3","DAPK1","ARPC1B","HHAT",NA,"SSH2","SKAP2","FRMD4A","TLE2","TINAGL1","ALPK1"
"779","GADD45B","ACBD4","TSPO","LUZP6","CYBA","CKB","MFAP2","IFITM1","CSRP2","ECHS1","HLA-DQB1","CLEC4E","XPNPEP1","FOSL2","LILRB1","CCDC8",NA,"CTSZ","TNFAIP8","VAMP8","COX5A","DOCK10","SP140L"
"780","SLC16A7","LPCAT1","CLIC6","TIAM2","NETO2","MED24","SDC2","IRF6","ARHGEF25","LY6E","ARPC1B","GNPDA1","LSM4","TXNIP","TCERG1","NME1",NA,"LAMTOR3","TESC","HIST2H2BE","MIOS","IFNE","C12ORF65"
"781","DAAM2","LSM7","MSMO1","TIFAB","PLEKHG5","SLC22A18","CD40","COPS8","ALDH2","PGLS","EHF","ATP1B3","SH3TC1","BCAM","ARAP2","SHD",NA,"STK4","CD79B","SLC9A3R1","PHYH","PRICKLE2","CD84"
"782","IFITM3","SPATA20","SLC5A3","RSL1D1","APBA2","CDKN2D","HIST2H4B","FOS","HIST2H2AC","ZRANB3","MARK1","HS3ST2","SLC7A8","COMT","EPB41L4A-AS1","KIRREL",NA,"VAV3","CMTM3","TPM4","CHMP1B","CKB","DPH5"
"783","MMP28","MRPL38","TPM4","SNN","TNFRSF21","NBPF1","HMGA1","RPL23A","MAPK1IP1L","TMEM97","SCRIB","ITGA5","SUMF2","NCF2","AMPD2","DDIT4",NA,"PLEKHO2","SEMA4C","SPHK1","NDUFS8","LGALS3","MRPL9"
"784","ARHGAP29","RPS15A","HIF1A","C17ORF58","CSRP1","RHOBTB3","METRNL","SLC43A1","RAVER1","BLVRA","CASP4","TMSB10","HPS5","PLEK2","HES1","EMP1",NA,"RSBN1L","NLRP2","PCDHGC3",NA,"F11R","MTM1"
"785","PTBP1","SBF1","SEPT9","GZMB","PRC1","C22ORF34","RPL4","EEF1B2","RNASE4","SMYD3","NOTCH1","TNFRSF12A","MOXD1","H1FX","SNORA59A","HLA-E",NA,"SAP25","PPP1R9B","ORAI2",NA,"IDH1","SYNE1"
"786","POSTN","UBA5","PROS1","EMILIN2","MAST4","CTIF","DFNA5","KIFC1","RPL10A","HDAC1","PTPN13","OSCAR","PTBP1","RANBP1","SUMF2","SMARCD3",NA,"STAT6","RAB27B","TNRC18",NA,"TMED3","TPCN1"
"787","FAM198B","DGKA","CRIP1","KIAA0922","PTBP1","NDE1","DLG3","TGIF1","BAG2","PDK2","SQRDL","GJB2","ZNF439","LOXL4","IRS2","BIN1",NA,"ZNF516","RPS23","ESYT1",NA,"HDAC9","ZNF737"
"788","HIST1H2AD","MGAT2","HHIPL2","MT1H","ALDH2","ANXA3","GRHL3","CDK4","MYH9","RNF130","COTL1","SGK3","KHSRP","LMO7","PNP","C16ORF45",NA,"GTPBP1","STMN1","PLK3",NA,"RAB11B","LSR"
"789","WWTR1","KCNA3","HSP90AB1","SPPL2A","LIMA1","FGL2","HIST1H4A","CEP152","PLXND1","RPL32","ITM2A","ADH5","GLUL","CLDN11","TTC19","ANXA10",NA,"CD24","CXCR1","TMSB4X",NA,"HRH1","RPL23"
"790","PRDX4","KLHL6","PDGFC","IGF2R","TPX2","SIPA1","SYT11","FBXO5","RPS15","ALG3","PAQR4","SPON2","HLA-F-AS1","EFEMP1","EIF2A","SLC7A11",NA,"LTB4R","MCM3","CSRP1",NA,"HSF4","RPL9"
"791","SASH1","MCL1","SETD7","FNIP2","S100A10","SUMF2","CTNNA1","MSH2","COL4A5","FAM26F","WNT5A","SLC7A8","MAZ","HHAT","ELF1","ALPK3",NA,"TBC1D14","COLQ","AKR1B1",NA,"RNASE4","CMTM7"
"792","RHOQ","SNX25","TMBIM1","GM2A","ZNF792","DPY19L3","ETS2","CYP1B1","NHP2","RPL19","COL22A1","TCEAL8","DLGAP1","HIST1H2BN","MRPS24","MIR100HG",NA,"CPQ","RPS5","TCIRG1",NA,"RCAN1","DPYD"
"793","TKT","ZNF706","PRKCA","LONRF1","BGN","MUM1","ARRDC1","PCBP1-AS1","PLAU","RASSF1","RAET1G","ARHGAP5","ACBD6","SPTAN1","PDLIM2","CTNNA1",NA,"RHOB","ST8SIA6","FLRT2",NA,"NCS1","PDE4D"
"794","GMFB","LHFPL2","PTPN14","MMP25","UHRF1","MPP7","CTNND1","MALAT1","GYPC","SRI","SAT1","LXN","FANCD2","RAVER1","RUFY3","IKBIP",NA,"LTBR","UBA7","SPTAN1",NA,"HIST1H2BE","FAM153A"
"795","MGAT1","UNKL","RNASE4","AARS","AKT1","NUP93","FKBP7","UTP6","PIGT","ATP2A3","LSM7","MPZL1","MLEC","CYFIP1","ASGR1","PDXP",NA,"MEF2C","PPP5C","TJP1",NA,"NEO1","RPS14"
"796","TNFRSF21","CCDC109B","SLC39A10","C10ORF54","MSN","ADCY7","MANF","FXYD5","AK4","RPS12","PLK1","C1QBP","SCCPDH","ESYT1","ISG20","PDLIM1",NA,"S100A6","PRSS57","TNFRSF1A",NA,"PRDX1","ZSCAN18"
"797","FSCN1","PPP3CC","CD302","FCHSD2","TNFAIP2","ALDH3A2","SYK","TARS","EMILIN2","CD63","SLC39A14","SPR","ADH5","F11R","RPL37A","PEBP1",NA,"ULK1","ZNF600","HIST1H2AB",NA,"DAPK3","CERS6"
"798","ZCCHC24","CCDC167","ESYT1","TBC1D9","SEPP1","PLEC","BCAM","TIPIN","NDUFB2","PIGP","ARL4C","METTL1","SERPINF1","ACTG1","DAPP1","PSAT1",NA,"MEGF6","DDIT4","LIFR",NA,"FRMD4A","GPR160"
"799","ADCY7","RHOQ","HDAC9","ARPC1B","CXCL1","TRPC6","CYBA","CCT3","RPS26","MFSD10","DTX2","APH1A","CCT3","GRB7","MAPK8IP3","IGF2BP3",NA,"FAM126B","CCNJL","EDEM1",NA,"TBX3","KIF21B"
"800","ACTN4","FAM117A","PCDHGB7","SYNGR3","ORAI2","C7ORF43","EIF3CL","OXCT1","CCNB2","CARD16","MST1R","LPAR6","HIST1H3D","LAMA3","POU2F2","TAX1BP3",NA,"GNAI2","U2AF2","CHRM2",NA,"FRY","PIK3R1"
